prompt,command
"Convert all spaces in ""file.txt"" to tabs using expand.",expand -t 8 file.txt > file_tabs.txt
show system manufacturer information,sudo dmidecode -t system
"Show the top 5 lines of the output of ""df -h"" that contain the string ""/dev/sda"".","df -h | grep ""/dev/sda"" | head -n 5"
"Write a command that extracts the usernames of all users who have sudo privileges from /etc/sudoers and any files in /etc/sudoers.d/, ignoring comments and includes, and outputs a sorted unique list.","grep -hE '^%|^[^#]*ALL' /etc/sudoers /etc/sudoers.d/* 2>/dev/null | grep -v '^#' | awk '{for(i=1;i<=NF;i++) if($i==""ALL"") print $(i-1)}' | sed 's/^%//' | sort -u"
use strace to trace network operations,strace -e trace=network YOUR_COMMAND
Show the oldest file in the current directory,"$ ls -tr | head -n1
oldnote.txt"
"Show the total number of lines across all ""*.py"" files in the ""src"" directory.","find src -name ""*.py"" -exec cat {} + | wc -l"
"List the top 5 processes consuming the most memory, format the output as JSON, and send it to a monitoring endpoint via HTTP POST.","ps -eo pid,comm,%mem --sort=-%mem | head -n 6 | tail -n 5 | awk '{print ""{\""pid\"": ""$1"", \""command\"": \""""$2""\"", \""mem_percent\"": ""$3""}""}' | jq -s '.' | curl -s -X POST -H ""Content-Type: application/json"" -d @- https://monitor.example.com/api/memory"
"Print 1 byte from ""/dev/urandom"" as a signed decimal value and no address radix",od -A n -t d -N 1 /dev/urandom
Merge multiple files into a single file named 'output.txt',cat file1.txt file2.txt > output.txt
Display the current shell's exit status of the last command.,echo $?
show hidden files only,ls -d .*
monitor file system events,inotifywait -m /path/to/watch
Show hidden files only in the current directory,ls -d .??*
"Show the last 10 lines of the output of the command ""dmesg"" in reverse order.",dmesg | tail -n 10 | tac
Search for the word 'ERROR' in syslog and show line numbers,"grep -n ""ERROR"" /var/log/syslog"
Rename a file named 'example.txt' to 'new_example.txt',mv example.txt new_example.txt
"Write a Bash function that takes a directory and a pattern, then prints a tree‑like view (using indentation) of all files matching the pattern, showing file size in bytes next to each file.","tree_match() {
  local dir=""$1"" pat=""$2""
  find ""$dir"" -type f -name ""$pat"" | while IFS= read -r file; do
    depth=$(echo ""$file"" | awk -F'/' '{print NF-1}')
    indent=$(printf '%*s' $((depth*2)) '')
    size=$(stat -c%s ""$file"")
    echo ""${indent}$(basename ""$file"") ($size bytes)""
  done
}"
Print the output of history without line numbers,"history|awk '{$1="""";print substr($0,2)}'"
"Print the 3rd column of a space‑separated file ""table.txt"" using awk",awk '{print $3}' table.txt
"Create a compressed zip archive of the folder ""src"" named ""src.zip""",zip -r src.zip src
Count how many times the word 'failed' appears in syslog,grep -o 'failed' /var/log/syslog | wc -l
Display the first 10 lines of the system log file /var/log/syslog.,head -n 10 /var/log/syslog
Decrypt the file secret.gpg using GPG and output to secret.txt,gpg --output secret.txt --decrypt secret.gpg
remove a kernel module,sudo modprobe -r module_name
View the CPU usage,top
"file1 and file2 contain lines of comma-separated information, for each line whose first field matches, and where 3rd field of file1 matches 2nd field of file2, 6th field of file1 matches 3rd field of file2, and 7th field of file1 matches 4th field of file2, output: fields 1, 2, 3, 4, 6, and 7 of file1.","join -t, file1 file2 | awk -F, 'BEGIN{OFS="",""} {if ($3==$8 && $6==$9 && $7==$10) print $1,$2,$3,$4,$6,$7}'"
"Create a temporary named pipe, write the output of `ps aux` into it, and in parallel count how many processes belong to each user, then remove the pipe.","tmp_fifo=$(mktemp -u); mkfifo ""$tmp_fifo""; ps aux > ""$tmp_fifo"" & while read -r line; do echo ""$line""; done < ""$tmp_fifo"" | awk '{print $1}' | sort | uniq -c | sort -nr; rm -f ""$tmp_fifo"""
"Find all duplicate files (by content) under /data, and replace each duplicate with a hard link to the first occurrence, printing the actions taken","#!/usr/bin/env bash\n\ndeclare -A seen\nfind /data -type f -print0 | while IFS= read -r -d '' file; do\n  hash=$(md5sum ""$file"" | cut -d' ' -f1)\n  if [[ -v seen[$hash] ]]; then\n    original=${seen[$hash]}\n    rm ""$file"" && ln ""$original"" ""$file"" && echo ""Replaced $file with hard link to $original""\n  else\n    seen[$hash]=""$file""\n  fi\ndone"
Find all files that were not modified in the last 24 hours in the current directory and its subdirectories,find . -mtime +1
"Save the absolute path of ""$path"" to variable ""full_path""",full_path=`readlink -fn -- $path`
Display the last 5 entries of the system journal,journalctl -n 5
"Copy the directory ""src"" and its contents to ""dst"", preserving attributes.",cp -a src dst
Find all files/directories under current directory and put the output into full_backup_dir variable,"full_backup_dir=""`find . -depth -print0`"""
Set variable PacketLoss to first digit of percentage of packet loss occurring when pinging host specified by TestIP,"PacketLoss=$(ping ""$TestIP"" -c 2 | grep -Eo ""[0-9]+% packet loss"" | grep -Eo ""^[0-9]"")"
"Display the contents of the file ""data.json"" formatted with syntax highlighting using jq.",jq . data.json
Bring down a network interface,ip link set eth0 down
Display the IPv4 address of the machine's primary network interface.,ip -4 addr show $(ip route get 1.1.1.1 | awk '{print $5}') | grep -oP '(?<=inet\s)\d+(\.\d+){3}'
List all listening TCP ports with their associated processes,sudo ss -tlnp
"List the top 10 largest files on the system, showing size in human readable format and full path, excluding directories mounted under /proc and /sys","find / -xdev -type f -printf ""%s %p\n"" 2>/dev/null | sort -nr | head -n 10 | numfmt --field=1 --to=iec-i --suffix=B"
"List the last 100 lines of the combined system journal, filtered for entries with priority warning or higher.",journalctl -p warning -n 100
Start a simple HTTP server on port 8000 serving the current directory,python3 -m http.server 8000
Sort a file 'file' preserving only unique lines and change the file in-place,sort -u -o file !#$
"List all systemd services that failed to start in the last boot, showing unit name and the last 5 lines of their journal logs.","systemctl --failed --no-legend | awk '{print $1}' | while read svc; do
  echo ""=== $svc ===""
  journalctl -u ""$svc"" -b -n 5
  echo
 done"
"Join comma-separated data in file1 and file2, including extra non-matching information in both files.","join -t, -a1 -a2 <(sort file1) <(sort file2)"
Convert the string '2026-03-24' to Unix timestamp,"date -d ""2026-03-24"" +%s\n1748304000"
generate a random password,openssl rand -base64 32
"Extract the JSON field ""status"" from every line of a log file, count occurrences of each unique status, and display the top 3 most frequent ones.","awk -F'""status"":""' '{if(NF>1){split($2,a,""\"""");print a[1]}}' /var/log/app.log | \ 
  sort | uniq -c | sort -nr | head -3"
show context switch statistics,vmstat 1 3
"Archive the ""logs"" directory into a gzipped tarball named ""logs.tar.gz"".",tar -czvf logs.tar.gz logs/
"Find all ELF binaries in /usr/local/bin that are not signed with a trusted GPG key, and list their paths.","find /usr/local/bin -type f -executable -exec file {} \; | grep -i 'ELF' | cut -d: -f1 | while IFS= read -r bin; do if ! dpkg-sig -c ""$bin"" 2>/dev/null | grep -q 'GOODSIG'; then echo ""$bin""; fi; done"
verify an SSL certificate,openssl x509 -in YOUR_CERT -text -noout
Create a symbolic link named latest.log pointing to /var/log/app.log.,ln -s /var/log/app.log latest.log
Connect to a remote server using ssh,ssh user@example.com
"Run ""script.sh"" in the background and redirect both stdout and stderr to ""log.txt""",nohup ./script.sh > log.txt 2>&1 &
Create a new directory named 'docs',mkdir docs
encode a string hello world in base64,"echo ""hello world"" | base64"
close file descriptor 3,exec 3>&-
"Synchronize the local backup/ directory with the remote /mnt/backup directory, deleting extraneous files",rsync -av --delete backup/ user@remote:/mnt/backup
Show the status of Docker containers,docker ps -a
archive all files in a current directory modified in the last 30 days,tar czvf mytarfile.tgz `find . -mtime -30`
"Find all Git repositories under /srv, list their remote URLs, and check if the default branch is ahead of origin, printing repo path and status.","find /srv -type d -name .git -prune -print0 | while IFS= read -r -d '' gitdir; do repo=$(dirname ""$gitdir""); cd ""$repo"" || continue; remote=$(git config --get remote.origin.url); default=$(git symbolic-ref refs/remotes/origin/HEAD | sed 's@^refs/remotes/origin/@@'); git fetch origin ""$default"" >/dev/null 2>&1; ahead=$(git rev-list --count ""origin/$default..$default""); if (( ahead > 0 )); then echo ""$repo | $remote | $default ahead by $ahead commits""; fi; done"
Display the current bash history count (number of commands stored).,echo $HISTSIZE
"Insert the line ""# Header"" at the beginning of config.cfg using sed",sed -i '1i # Header' config.cfg
"Collapse double slashes in variable ""dir"" into a single one.","dir=""`echo $dir | sed s,//,/,g`"""
count lines of code by file type,"find . -name ""*.py"" -o -name ""*.js"" -o -name ""*.go"" | xargs wc -l"
Print file size and user name with color support for each file in the current directory tree,tree -Csu
Show GPU temperature,"nvidia-smi --query-gpu=temperature.gpu --format=csv,noheader
52"
Convert Unix `cal` output to latex table code.,cal | sed '1d;2{h;s/./ /g;x};/^\s*$/b;G;s/\n/ /;s/^...\(.\{15\}\).*/\1/;s/.../ &\t\&/g;s/\&$/\\\\/'
Show a summary of the last 7 days of system load averages from the uptime command.,"uptime | awk -F'load average:' '{print $2}' | cut -d',' -f1-3 | xargs -I{} echo ""Load averages (last 1,5,15 min): {}"""
show hidden files only,ls -ld .*
"Using a combination of ps, grep, and awk, list the PID, user, and command of all processes consuming more than 100 MB RSS, sorted by memory usage descending.","ps -eo pid,user,rss,cmd --no-headers | awk '$3>102400 {print $1,$2,$3,$4}' | sort -k3 -nr"
enable the firewall,sudo ufw enable
Display differences between files dir1.txt and dir2.txt.,diff dir1.txt dir2.txt
Convert JSON to CSV with jq,"jq -r '[.id,.name,.age] | @csv' users.json > users.csv"
"Kill all processes named ""myapp""",pkill myapp
"Display the contents of ""file"" formatted into a table, removing duplicate lines where the first 12 characters are duplicates, and display the number of occurrences at the beginning of each line.",column -t file | uniq -w12 -c
Ping a remote host called 'example.com',ping example.com
"Using sed, convert a Windows‑style line endings file (dos.txt) to Unix style and create a backup of the original as dos.txt.bak.",sed -i.bak 's/\r$//' dos.txt
"Print the last modification date of each file in the current directory, sorted newest first.",ls -lt --time-style=long-iso
Print the number of words in a file named 'example.txt',wc -w example.txt
trace the route to a host,traceroute google.com
convert PDF to text,pdftotext YOUR_PDF_FILE
List screen IDs,screen -ls
"Create a bash function named safe_rm that moves files to a hidden .trash directory under the user's home, preserving directory structure, and logs each removal to ~/.trash.log.","safe_rm(){ local trash=""$HOME/.trash""; mkdir -p ""$trash""; while [ ""$#"" -gt 0 ]; do src=""$1""; dst=""$trash${src}""; mkdir -p ""$(dirname ""$dst"")""; mv ""$src"" ""$dst"" && echo ""$(date +'%F %T') $src -> $dst"" >> ""$HOME/.trash.log""; shift; done }"
Test connectivity to example.com with 4 ping packets,ping -c 4 example.com
Removes 'latest' folder if empty.,rmdir latest
remove an alias,unalias ll
Find all Python files in the current directory and subdirectories,"find . -type f -name ""*.py""
./script.py
./module/utils.py"
"Write a script that watches /var/log/auth.log for failed SSH login attempts, extracts the offending IPs, adds them to /etc/hosts.deny using the format ""sshd: <ip>"", but only if they are not already present, and sends an email alert.","#!/usr/bin/env bash
log=/var/log/auth.log
while sleep 30; do
  ips=$(grep 'Failed password' ""$log"" | awk '{print $(NF-3)}' | sort -u)
  for ip in $ips; do
    if ! grep -q ""sshd: $ip"" /etc/hosts.deny; then
      echo ""sshd: $ip"" >> /etc/hosts.deny
      echo ""Blocked SSH brute‑force from $ip"" | mail -s ""SSH Blocked"" admin@example.com
    fi
  done
done"
"Split ""$1"" into files of at most ""$2"" or default 10000 using a numeric suffix of length 6 and suffix ""${tdir}/x""","split -l ${2:-10000} -d -a 6 ""$1"" ""${tdir}/x"""
pretty print XML,xmllint --format file.xml
Stash any uncommitted changes in the current Git repository,"git stash push -m ""temp stash"""
show boot messages from previous boot,journalctl -b -1
