prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
use rsync with bandwidth limit,rsync --bwlimit=1000 source/ destination/,rsync -avz --bwlimit=YOUR_LIMIT YOUR_SOURCE YOUR_DESTINATION,False,True,True,True,2,2,2,True,4,"Correct tool and --bwlimit flag; args use placeholders as input_text didn't specify values, but could be more explicit about options like compression."
disable swap on /swapfile,sudo swapoff /swapfile,sudo swapoff /swapfile,True,True,True,True,2,2,2,True,5,Correct tool and command to disable swap on /swapfile.
disable swap,sudo swapoff /swapfile,sudo swapoff YOUR_SWAPFILE,False,True,True,True,2,1,1,True,4,"Correct tool and action, but uses hardcoded /swapfile instead of placeholder as expected."
kubernetes get logs from a pod mypod,kubectl logs mypod,kubectl logs mypod,True,True,True,True,2,2,2,True,5,Correct tool and command for retrieving logs from a pod named mypod.
kubernetes get logs from a pod,kubectl logs pod_name,kubectl logs YOUR_POD,False,True,True,True,2,2,2,True,5,Correct tool and placeholder for pod name; matches expected structure and intent.
check if a port 8080 is in use,lsof -i :8080,lsof -i :8080,True,True,True,True,2,2,2,True,5,Correct tool and flag used to check if port 8080 is in use.
check if a port is in use,lsof -i :80,lsof -i :YOUR_PORT,False,True,True,True,2,1,1,True,3,"Correct tool and flag, but uses hardcoded port 80 instead of placeholder YOUR_PORT as expected."
check if a directory dirpath exists,"[ -d dirpath ] && echo ""exists"" || echo ""not found""","test -d dirpath && echo ""exists"" || echo ""not found""",False,True,True,True,2,2,2,True,5,"Correct tool and logic, but [ -d dirpath ] is functionally equivalent to test -d dirpath, so it's acceptable."
check if a directory exists,"[ -d /path/to/dir ] && echo ""exists"" || echo ""not found""","test -d YOUR_DIRECTORY && echo ""exists"" || echo ""not found""",False,True,True,True,2,1,1,True,4,"Correct tool and logic, but uses /path/to/dir instead of placeholder; input_text didn't specify a directory path."
brute force directories on a web server http://example.com using wordlist.txt,for d in $(cat wordlist.txt); do curl -I http://example.com/$d; done,dirb http://example.com wordlist.txt,False,True,True,True,0,2,2,True,3,Uses a loop with curl instead of a dedicated tool like dirb; less efficient but still accomplishes the task.
brute force directories on a web server,dirb YOUR_TARGET YOUR_WORDLIST,dirb YOUR_URL YOUR_WORDLIST,False,True,True,True,2,2,2,False,3,"Correct tool 'dirb' used, but 'YOUR_TARGET' is a placeholder; expected 'YOUR_URL' is more specific but both are acceptable placeholders."
move file data.csv to the archive directory archive/,mv data.csv archive/,mv data.csv archive/,True,True,True,True,2,2,2,True,5,"Correct tool, correct arguments, and correct operation as per input_text."
move file to the archive directory,mv file.txt archive/,mv YOUR_FILE YOUR_ARCHIVE_DIR,False,True,True,True,2,1,1,True,3,Correct tool and action but uses hardcoded 'file.txt' and 'archive/' instead of placeholders as expected.
apply a patch file changes.patch,patch -p1 < changes.patch,patch -p1 < changes.patch,True,True,True,True,2,2,2,True,5,Correct tool and command for applying a patch file.
apply a patch file,patch -p1 < patch.diff,patch -p1 < YOUR_PATCH_FILE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses placeholder 'patch.diff' instead of 'YOUR_PATCH_FILE' but both are acceptable as input_text didn't specify a filename.
setup SSH passwordless authentication for user@server,ssh-copy-id user@server,ssh-copy-id user@server,True,True,True,True,2,2,2,True,5,Correct tool and command for passwordless SSH setup; no constraints or arguments missing.
setup SSH passwordless authentication,ssh-copy-id user@host,ssh-copy-id YOUR_USER@YOUR_SERVER,False,True,True,True,2,1,1,True,3,Correct tool and command structure but missing placeholders for user and host as specified in input_text.
initialize a new React app my-app,npx create-react-app my-app,npx create-react-app my-app,True,True,True,True,2,2,2,True,5,Correct tool and arguments; initializes a new React app as specified.
initialize a new React app,npx create-react-app my-app,npx create-react-app YOUR_APP_NAME,False,True,True,True,2,2,2,True,5,Correct tool and command structure; uses 'my-app' as the app name instead of a placeholder but it is still valid.
change permissions recursively to 755 for project/,chmod -R 755 project/,chmod -R 755 project/,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments; fully honors the input_text constraints."
change permissions recursively,chmod -R 755 /path/to/dir,chmod -R YOUR_PERMISSIONS YOUR_DIRECTORY,False,True,True,True,2,2,2,True,5,Correct tool and flag '-R' for recursive operation; uses placeholder for permissions and directory as input_text did not specify them.
allow a port 22 through the firewall,sudo ufw allow 22/tcp,sudo ufw allow 22,False,True,True,True,1,1,1,True,3,"Correct tool and port, but missing '/tcp' which is needed for explicit protocol specification in some setups."
allow a port through the firewall,sudo ufw allow 22/tcp,sudo ufw allow YOUR_PORT,False,True,True,True,2,1,1,True,3,Correct tool and flag but uses hardcoded port 22 instead of placeholder YOUR_PORT as expected.
search command history for a keyword docker,history | grep docker,history | grep docker,True,True,True,True,2,2,2,True,5,Correct tool and method for searching history with grep; matches expected exactly.
search command history for a keyword,"history | grep ""keyword""",history | grep YOUR_KEYWORD,False,True,True,True,2,1,1,True,4,"Correct tool and approach, but uses a hardcoded 'keyword' instead of a placeholder as expected."
encrypt a file secret.txt with openssl,openssl enc -aes-256-cbc -salt -in secret.txt -out secret.enc,openssl enc -aes-256-cbc -salt -in secret.txt -out secret.enc,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments; fully matches expected command."
encrypt a file with openssl,openssl enc -aes-256-cbc -in YOUR_FILE -out YOUR_ENCRYPTED_FILE,openssl enc -aes-256-cbc -salt -in YOUR_FILE -out YOUR_ENCRYPTED_FILE,False,True,True,True,1,2,1,True,4,"Missing the -salt flag which is recommended for secure encryption, but tool and other flags are correct."
set a Redis key mykey to myvalue,redis-cli SET mykey myvalue,redis-cli set mykey myvalue,False,True,True,True,2,2,2,True,5,"Correct tool and command; flag case is not critical as Redis is case-insensitive, and the command matches the expected intent."
set a Redis key,"redis-cli SET mykey ""Hello, Redis!""",redis-cli set YOUR_KEY YOUR_VALUE,False,True,True,True,2,1,1,True,4,"Correct tool and flag, but args use specific values instead of placeholders as expected."
make kernel parameter net.ipv4.ip_forward = 1 persistent,sudo sysctl -w net.ipv4.ip_forward=1,"echo ""net.ipv4.ip_forward = 1"" | sudo tee -a /etc/sysctl.conf",False,True,True,True,0,0,0,True,1,"The command sets the parameter temporarily, not persistently as required; the expected command appends to sysctl.conf for persistence."
make kernel parameter persistent,"sudo tee /etc/modprobe.d/usb.conf <<EOF
options usbcore autosuspend=0
EOF","echo ""YOUR_PARAMETER"" | sudo tee -a /etc/sysctl.conf",False,True,True,True,2,2,2,True,4,"Command is correct for making a kernel parameter persistent using modprobe.d, but expected uses sysctl.conf which is different. Both are valid but not the same approach."
GCP create a compute instance myvm in zone us-central1-a,gcloud compute instances create myvm --zone us-central1-a,gcloud compute instances create myvm --zone=us-central1-a,False,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments matching the input_text constraints."
GCP create a compute instance,gcloud compute instances create YOUR_INSTANCE --image YOUR_IMAGE --machine-type YOUR_MACHINE,gcloud compute instances create YOUR_INSTANCE --zone=YOUR_ZONE,False,True,True,True,0,1,0,True,1,Command uses correct tool but lacks required --zone flag and includes optional --image and --machine-type which are not mentioned in input_text.
curl a URL https://example.com and show response headers,curl -I https://example.com,curl -I https://example.com,True,True,True,True,2,2,2,True,5,Correct tool and flag used to show response headers; matches expected exactly.
curl a URL and show response headers,curl -I https://example.com,curl -I YOUR_URL,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses a specific URL instead of placeholder as input_text did not specify one.
extract pages 1 to 5 from input.pdf to output.pdf,pdfseparate input.pdf page_%03d.pdf,pdfseparate -f 1 -l 5 input.pdf output_%d.pdf,False,True,True,True,0,1,0,True,1,Missing -f and -l flags to specify page range; output filename does not match input_text's 'output.pdf' constraint.
extract pages from a PDF,pdfseparate input.pdf page_%03d.pdf,pdfseparate -f YOUR_START -l YOUR_END YOUR_INPUT YOUR_OUTPUT,False,True,True,True,0,0,0,True,1,Correct tool but lacks required parameters for page range and output format as expected suggests.
find all hard links to a file target.txt,find / -xdev -samefile target.txt 2>/dev/null,find . -samefile target.txt,False,True,True,True,2,1,1,True,3,Correct tool and flag but searches from root instead of current directory as expected.
find all hard links to a file,find / -xdev -samefile file.txt 2>/dev/null,find . -samefile YOUR_FILE,False,True,True,True,2,1,1,True,4,"Correct tool and flag usage, but the expected command uses a placeholder while the produced command uses a specific file name, which is acceptable but not ideal."
search and replace old_function with new_function across multiple Python files,"find . -name ""*.py"" -exec sed -i 's/old_function/new_function/g' {} +","find . -type f -name ""*.py"" -exec sed -i ""s/old_function/new_function/g"" {} +",False,True,True,True,1,2,2,True,4,"Correct tool and approach, but missing -type f which ensures only files are processed, though it's not strictly required."
search and replace across multiple files,sed -i 's/old_string/new_string/g' *.txt,"find . -type f -name ""YOUR_PATTERN"" -exec sed -i ""s/YOUR_OLD/YOUR_NEW/g"" {} +",False,True,True,True,2,1,1,True,3,Uses sed correctly but only on *.txt files; lacks flexibility for multiple file types and patterns as implied by input_text.
run a command ./server that survives terminal close,nohup ./server &,nohup ./server &,True,True,True,True,2,2,2,True,5,Correct tool and flag used to run the command in the background and survive terminal close.
run a command that survives terminal close,nohup YOUR_COMMAND &,nohup YOUR_COMMAND &,True,True,True,True,2,2,2,True,5,Correct tool and usage; YOUR_COMMAND placeholder is appropriate and syntax is valid.
get unique lines with count from access.log,awk '{print $1}' access.log | sort | uniq -c | sort -rn,sort access.log | uniq -c | sort -rn,False,True,True,True,2,2,2,True,4,Correct tool and approach but unnecessary use of awk; expected command is more efficient.
get unique lines with count,sort file.txt | uniq -c | sort -rn,sort YOUR_FILE | uniq -c | sort -rn,False,True,True,True,2,1,1,True,4,Correct tool and method but uses 'file.txt' instead of placeholder 'YOUR_FILE' as expected.
docker inspect a container container_id,docker inspect container_id,docker inspect container_id,True,True,True,True,2,2,2,True,5,Correct tool and argument; matches expected exactly.
docker inspect a container,docker inspect container_id,docker inspect YOUR_CONTAINER_ID,False,True,True,True,2,2,2,True,5,Correct tool and argument placeholder; uses 'container_id' instead of 'YOUR_CONTAINER_ID' but both are valid placeholders.
watch a command df -h execute every 2 seconds,watch -n 2 df -h,watch -n 2 df -h,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct arguments; matches expected exactly."
watch a command execute every 2 seconds,watch -n 2 'command',watch -n 2 YOUR_COMMAND,False,True,True,True,2,1,2,True,4,"Correct tool and flag, but uses 'command' as placeholder instead of 'YOUR_COMMAND' as expected, which is a minor issue."
enable a service nginx to start on boot,sudo systemctl enable nginx,sudo systemctl enable nginx,True,True,True,True,2,2,2,True,5,Correct tool and command to enable nginx service on boot.
enable a service to start on boot,sudo systemctl enable YOUR_SERVICE,sudo systemctl enable YOUR_SERVICE,True,True,True,True,2,2,2,True,5,Correct tool and command structure with placeholder for service name; all constraints and flags are met.
create a new partition on /dev/sdb,sudo fdisk /dev/sdb,sudo fdisk /dev/sdb,True,True,True,True,0,2,0,False,1,"Correct tool for partitioning, but no specific flags or actions are provided to create a new partition, which is a significant gap."
create a new partition,sudo fdisk /dev/sdb,sudo fdisk YOUR_DEVICE,False,True,True,True,2,1,1,True,3,Correct tool but uses a hardcoded device instead of a placeholder as expected; input_text does not specify a device.
compile a C++ program main.cpp to output,g++ -o output main.cpp,g++ -o output main.cpp,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments; fully matches expected command."
compile a C++ program,g++ -o YOUR_OUTPUT YOUR_SOURCE,g++ -o YOUR_OUTPUT YOUR_SOURCE,True,True,True,True,2,2,2,True,5,Correct tool and arguments with placeholders; matches expected exactly.
unzip a file backup.zip,unzip backup.zip,unzip backup.zip,True,True,True,True,2,2,2,True,5,Correct tool and command to unzip the specified file.
unzip a file,unzip file.zip,unzip YOUR_FILE,False,True,True,True,2,2,2,True,5,"Correct tool and flag; uses 'file.zip' instead of placeholder 'YOUR_FILE' but input_text didn't specify a filename, so it's acceptable."
ansible check playbook syntax for playbook.yml,ansible-playbook --syntax-check playbook.yml,ansible-playbook --syntax-check playbook.yml,True,True,True,True,2,2,2,True,5,Correct tool and flag used; matches expected exactly.
ansible check playbook syntax,ansible-playbook --check YOUR_PLAYBOOK,ansible-playbook --syntax-check YOUR_PLAYBOOK,False,True,True,True,0,2,2,True,2,Uses --check instead of --syntax-check flag which is the correct flag for syntax checking.
docker build an image myapp from a Dockerfile,docker build -t myapp .,docker build -t myapp .,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
docker build an image from a Dockerfile,docker build -t myimage .,docker build -t YOUR_IMAGE .,False,True,True,True,2,2,2,True,5,"Correct tool and flag; uses 'myimage' instead of placeholder 'YOUR_IMAGE' but input_text didn't specify an image name, so it's acceptable."
block an IP address 10.0.0.5 with iptables,sudo iptables -A INPUT -s 10.0.0.5 -j DROP,sudo iptables -A INPUT -s 10.0.0.5 -j DROP,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and constraint honored."
block an IP address with iptables,sudo iptables -A INPUT -s 192.168.1.100 -j DROP,sudo iptables -A INPUT -s YOUR_IP -j DROP,False,True,True,True,2,1,1,True,3,"Correct tool and flag usage, but uses a hardcoded IP instead of a placeholder as expected."
unmount a filesystem /mnt/usb,umount /mnt/usb,sudo umount /mnt/usb,False,True,True,True,2,2,1,True,4,Correct tool and argument but missing sudo which may be required depending on permissions.
unmount a filesystem,umount /mnt,sudo umount YOUR_MOUNT_POINT,False,True,True,True,2,1,1,True,3,Correct tool but missing sudo which may be required for unmounting; args use /mnt instead of placeholder.
use screen to start a detached session mysession,screen -dmS mysession,screen -S mysession -d -m,False,True,True,True,2,2,2,True,5,Correct tool and flags; different order of flags but functionally equivalent to expected.
use screen to start a detached session,screen -dmS mysession,screen -S YOUR_SESSION -d -m,False,True,True,True,2,1,2,True,4,Correct tool and flags; args are slightly different but functionally equivalent.
check for memory leaks in ./myapp,valgrind --leak-check=full ./myapp,valgrind --leak-check=full ./myapp,True,True,True,True,2,2,2,True,5,Correct tool and flag used to check for memory leaks.
check for memory leaks,valgrind --leak-check=full ./program,valgrind --leak-check=full YOUR_COMMAND,False,True,True,True,2,1,1,True,4,"Correct tool and flag for checking memory leaks, but the argument './program' is not specified in the input_text, which may not be a problem if it's implied."
run a MySQL query SELECT * FROM users on database mydb from command line,"mysql -D mydb -e ""SELECT * FROM users;""","mysql -u root -p mydb -e ""SELECT * FROM users""",False,True,True,True,1,1,0,True,3,Correct tool and query but missing username and password flags which are typically required for MySQL CLI.
run a MySQL query from command line,"mysql -u root -p -e ""SELECT * FROM users"" database","mysql -u root -p YOUR_DATABASE -e ""YOUR_QUERY""",False,True,True,True,2,2,2,True,5,Correct tool and flags; uses placeholder for database and query as input_text did not specify them.
display a file binary.dat in octal,od -t oC binary.dat,od binary.dat | head -20,False,True,True,True,1,2,1,True,3,"The command uses the correct tool 'od' but specifies the wrong format flag; the input asks for octal display but the command uses 'oC' which is octal and ASCII, not just octal."
display a file in octal,od -t oA file.txt,od YOUR_FILE | head -20,False,True,True,True,0,0,0,True,1,Correct tool but missing the file argument; uses -t oA which is not standard for octal display.
run a command echo done after a delay of 5 seconds,sleep 5 && echo done,sleep 5 && echo done,True,True,True,True,2,2,2,True,5,Correct tool and command structure; uses sleep and echo with proper syntax.
run a command after a delay of 5 seconds,sleep 5 && command,sleep 5 && YOUR_COMMAND,False,True,True,True,2,1,2,True,4,Correct tool and structure but uses 'command' instead of placeholder 'YOUR_COMMAND' as expected.
add a watermark watermark.png to an image image.jpg to output.jpg,convert image.jpg -watermark 50% watermark.png output.jpg,composite -dissolve 50% -gravity southeast watermark.png image.jpg output.jpg,False,True,True,False,0,0,0,True,1,Uses incorrect tool (convert instead of composite) and incorrect syntax for watermarking.
add a watermark to an image,convert input.jpg -watermark 50% watermark.png output.jpg,composite -dissolve 50% -gravity southeast YOUR_WATERMARK YOUR_IMAGE YOUR_OUTPUT,False,True,True,False,0,0,0,True,1,"Uses 'convert' instead of 'composite' and lacks explicit positional arguments for watermark, input, and output files."
