prompt,command
Search for the word 'ERROR' in syslog and show line numbers,"grep -n ""ERROR"" /var/log/syslog"
Show the first 10 lines of the file /etc/passwd,head -n 10 /etc/passwd
Show the last 20 lines of the file /var/log/syslog,tail -n 20 /var/log/syslog
Display the current user's username,whoami
Show disk usage of the /home directory in human readable format,du -sh /home
Show a tree view of the current directory up to depth 2,tree -L 2
Count the number of lines in the file /etc/passwd,wc -l < /etc/passwd
Show the current date and time in ISO 8601 format,date --iso-8601=seconds
Create a compressed tar archive named backup.tar.gz of the /etc directory,tar -czf backup.tar.gz /etc
Extract the archive backup.tar.gz into the current directory,tar -xzf backup.tar.gz
Show the IP addresses of all network interfaces,ip -brief address
Display the process tree for the current user,pstree -u $USER
Monitor real-time changes to the file /var/log/syslog,tail -f /var/log/syslog
Find all files larger than 100 MB in /var and delete them after confirmation,find /var -type f -size +100M -exec rm -i {} \;
Replace all occurrences of 'foo' with 'bar' in file config.txt and save changes in-place,sed -i 's/foo/bar/g' config.txt
Show the 5 most memory‑intensive processes,ps aux --sort=-%mem | head -n 6
Display the current shell's environment variables sorted alphabetically,printenv | sort
Download the file from https://example.com/file.txt to /tmp using curl and show progress,curl -O --progress-bar https://example.com/file.txt
Upload local file report.pdf to https://example.com/upload using wget,wget --method=PUT --body-file=report.pdf https://example.com/upload
Create a new user named alice with a home directory and default shell /bin/bash,sudo useradd -m -s /bin/bash alice
Add the current user to the sudo group,sudo usermod -aG sudo $USER
Show the difference between file1.txt and file2.txt ignoring whitespace changes,diff -w file1.txt file2.txt
List all listening TCP ports with their associated processes,sudo ss -tlnp
Display the last 5 commands from the shell history,history | tail -n 5
Schedule a script backup.sh to run daily at 2 am using cron,"(crontab -l 2>/dev/null; echo ""0 2 * * * /path/to/backup.sh"") | crontab -"
Show the size of each subdirectory in /var sorted by size descending,du -sh /var/* | sort -hr
Find all symbolic links in the current directory and list their targets,find . -type l -ls
Compress all .log files in /var/log into a single zip archive logs.zip,zip logs.zip /var/log/*.log
Extract only the file config.yaml from archive settings.tar.gz,tar -xzf settings.tar.gz config.yaml
Show the CPU usage per core in real time,mpstat -P ALL 1
List all installed packages on an Ubuntu system,dpkg -l
Search the manual pages for commands related to networking,apropos network
Print the first 3 columns of /etc/passwd separated by commas,"cut -d ':' -f1,3,5 /etc/passwd | tr ':' ','"
Create an empty file named placeholder.txt only if it does not already exist,touch placeholder.txt
Rename all *.jpeg files in the current directory to have a .jpg extension,"for f in *.jpeg; do mv ""$f"" ""${f%.jpeg}.jpg""; done"
Display the current system load averages,cat /proc/loadavg
Show the top 10 most frequently used commands from history,"history | awk '{CMD[$2]++} END {for (c in CMD) print CMD[c] "" "" c}' | sort -nr | head -n 10"
Check if port 8080 is open on localhost,nc -zv 127.0.0.1 8080
Print the current kernel version,uname -r
Display the amount of free and used memory in megabytes,free -m
Convert the file data.txt from DOS to Unix line endings,dos2unix data.txt
Show the last login time for user bob,last -n 1 bob
"Create a directory tree ~/projects/{app,lib,tests} in one command","mkdir -p ~/projects/{app,lib,tests}"
Append the text 'Completed' to the end of the file notes.md,"echo ""Completed"" >> notes.md"
"List all files in /etc sorted by modification time, newest first",ls -lt /etc
Find all Python files that contain the string 'TODO' and print their filenames,"grep -rl ""TODO"" --include=*.py ."
Show a summary of disk usage for each mounted filesystem,df -h
Set the executable permission for all shell scripts in the current directory,chmod +x *.sh
Display the environment variable PATH with each directory on a new line,echo $PATH | tr ':' '\n'
Create a symbolic link named latest.log pointing to /var/log/app.log,ln -s /var/log/app.log latest.log
"Print the current date in the format 'Day, DD Month YYYY'","date ""+%A, %d %B %Y"""
Show the difference between the two branches master and feature using git,git diff master..feature
List the 10 largest files in the home directory,find ~ -type f -exec du -h {} + | sort -hr | head -n 10
"Combine the contents of file1.txt and file2.txt into a new file combined.txt, removing duplicate lines",cat file1.txt file2.txt | sort | uniq > combined.txt
Run the command ls in a new terminal window (GNOME),"gnome-terminal -- bash -c ""ls; exec bash"""
Display the HTTP response headers for https://example.com using curl,curl -I https://example.com
Create a 5‑minute countdown timer that beeps when finished,"for i in {5..1}; do echo $i; sleep 60; done; echo -e ""\a"""
Show the current git branch name,git rev-parse --abbrev-ref HEAD
List all files in the current directory that are larger than 10 KB,find . -type f -size +10k
Print the first word of each line in file data.csv,"cut -d ',' -f1 data.csv"
Display the number of CPU cores available,nproc
Show the current timezone setting,"timedatectl | grep ""Time zone"""
Check the syntax of the Bash script script.sh without executing it,bash -n script.sh
Replace spaces with underscores in all filenames in the current directory,"for f in *\ *; do mv ""$f"" ""${f// /_}""; done"
Create a random password of 16 characters and copy it to the clipboard (Linux with xclip),tr -dc A-Za-z0-9 </dev/urandom | head -c16 | xclip -selection clipboard
Show the last 5 git commit messages on the current branch,git log -5 --pretty=format:'%h %s'
List all Docker containers (running and stopped),docker ps -a
Stop and remove all stopped Docker containers,docker container prune -f
Display the size of the /var directory in megabytes,du -sm /var
Find all files with the setuid bit set in /usr/bin,find /usr/bin -type f -perm -4000
"Show a summary of the most common words in file article.txt (ignore case, top 10)",tr -cs '[:alnum:]' '\n' < article.txt | tr '[:upper:]' '[:lower:]' | sort | uniq -c | sort -nr | head -n 10
Create a new Git branch named feature/login and switch to it,git checkout -b feature/login
List all open files for process with PID 1234,lsof -p 1234
Show the current SELinux mode,getenforce
Compress the directory logs/ into a bzip2 archive logs.tar.bz2,tar -cjf logs.tar.bz2 logs/
Extract only the subdirectory src/ from archive source.tar.gz,tar -xzf source.tar.gz src/
Display the last 3 lines of the output of the command dmesg,dmesg | tail -n 3
Create a temporary file and print its name,tempfile=$(mktemp); echo $tempfile
Show the current system uptime in a human‑readable format,uptime -p
Search for the pattern 'TODO' in all files under src/ ignoring binary files,"grep -R --exclude-dir=.git -n ""TODO"" src/"
List the top 5 directories by size under /var,du -h --max-depth=1 /var | sort -hr | head -n 5
Show the current locale settings,locale
Create a new empty Git repository in the current directory,git init
Display the last 10 entries of the system journal,journalctl -n 10
Check the MD5 checksum of file archive.zip,md5sum archive.zip
Replace the first occurrence of 'apple' with 'orange' in each line of file fruits.txt,sed 's/apple/orange/' fruits.txt
List all active network connections and the processes that own them,sudo ss -tunap
Show a progress bar while copying a large file large.iso to /mnt/usb,pv large.iso > /mnt/usb/large.iso
Find all empty directories under /tmp and delete them,find /tmp -type d -empty -delete
"Display the number of lines, words, and characters in file report.txt",wc report.txt
"Create a new file named data.json with the content '{""key"": ""value""}'","echo '{""key"": ""value""}' > data.json"
Show the current user's groups,groups
List all files that have been modified in the last 24 hours in /var/log,find /var/log -type f -mtime -1
Display the top 10 processes by CPU usage,ps aux --sort=-%cpu | head -n 11
Show the current date in UTC,date -u
Search for the word 'failure' in syslog and display the 5 lines before each match,"grep -B5 ""failure"" /var/log/syslog"
List all installed Python packages using pip,pip list
Show the current terminal's size in rows and columns,stty size
Compress a string 'Hello World' using base64 encoding,echo -n 'Hello World' | base64
Display the current Git remote URLs,git remote -v
Find and delete all .tmp files in /tmp older than 7 days,"find /tmp -type f -name ""*.tmp"" -mtime +7 -delete"
Show the current system's hostname,hostname
List all files in the current directory with their inode numbers,ls -i
Create a new file named script.sh with executable permission and write a simple echo command into it,"echo -e ""#!/bin/bash\necho \""Hello from script\"""" > script.sh && chmod +x script.sh"
Display the first 5 lines of each .conf file in /etc,head -n 5 /etc/*.conf
Show the amount of free space on the root filesystem,df -h /
"Search for the string 'password' in all configuration files under /etc, ignoring case","grep -ri ""password"" /etc/*.conf"
List all loaded kernel modules,lsmod
Show the current user's UID and GID,id
Display the contents of the file /proc/cpuinfo,cat /proc/cpuinfo
Create a compressed gzip file from logs.txt,gzip -c logs.txt > logs.txt.gz
Extract a gzip file logs.txt.gz,gunzip -c logs.txt.gz > logs.txt
Show the current time in milliseconds since the epoch,date +%s%3N
"List all files in the current directory sorted by size, largest first",ls -S
Find all processes owned by the user alice,ps -u alice
Show the kernel ring buffer messages,dmesg
Display a calendar for the current month,cal
Create a new directory named backup with parent directories as needed,mkdir -p backup
Copy the file source.txt to destination.txt preserving attributes,cp -p source.txt destination.txt
Move all .log files from /var/log to /tmp/logs,mv /var/log/*.log /tmp/logs
Delete the file old.tmp without prompting,rm -f old.tmp
Show the current shell's version,echo $BASH_VERSION
Display the current user's home directory,echo $HOME
List all active services using systemd,systemctl list-units --type=service --state=running
Show the current system's uptime in seconds,cat /proc/uptime | awk '{print $1}'
Search for the word 'TODO' in all .py files and display line numbers,"grep -n ""TODO"" *.py"
Create a new empty file named empty.txt only if it does not exist,test -e empty.txt || touch empty.txt
"Show detailed information for all files, including hidden ones",ls -la
"Display the first 10 lines of a file named ""log.txt""",head -n 10 log.txt
"Show the last 20 lines of ""error.log"" with line numbers",tail -n 20 -n error.log
"Count how many words are in ""document.txt""",wc -w document.txt
"Find all "".conf"" files recursively from the current directory","find . -type f -name ""*.conf"""
"Search for the string ""TODO"" in all "".py"" files and show line numbers","grep -n ""TODO"" *.py"
"Replace all occurrences of ""foo"" with ""bar"" in ""data.txt"" (in‑place)",sed -i 's/foo/bar/g' data.txt
Show disk usage of the current directory in human‑readable format,du -sh .
Display the current working directory,pwd
"Create a new directory named ""backup"" and move all "".log"" files into it",mkdir -p backup && mv *.log backup/
"Archive the ""src"" folder into a gzipped tarball called ""src.tar.gz""",tar -czvf src.tar.gz src/
"Extract the contents of ""archive.zip"" into the current directory",unzip archive.zip
Show the process tree for the current user,ps -u $USER -f --forest
List open network ports listening on TCP,ss -tln
Show the last 5 commands you executed in the shell history,history | tail -n 5
Display the amount of free memory in megabytes,free -m | awk '/Mem:/ {print $4}'
"Convert the PDF file ""report.pdf"" to a series of PNG images",convert -density 300 report.pdf report-%03d.png
"Download a file from ""https://example.com/file.tar.gz"" using curl and save as ""file.tar.gz""",curl -L -o file.tar.gz https://example.com/file.tar.gz
"Create a symbolic link named ""latest.log"" pointing to ""log_2024_03_24.txt""",ln -s log_2024_03_24.txt latest.log
List all running Docker containers,docker ps
"Stop a Docker container with ID ""a1b2c3d4e5f6""",docker stop a1b2c3d4e5f6
"Show the differences between ""file1.txt"" and ""file2.txt"" ignoring whitespace changes",diff -w file1.txt file2.txt
"Count how many times the word ""error"" appears in ""system.log"" (case‑insensitive)","grep -oi ""error"" system.log | wc -l"
Print the current user's UID and GID,id -u && id -g
"Set the executable permission for all scripts in the ""scripts"" directory",chmod +x scripts/*.sh
"Append the current timestamp to the file ""audit.log""",date '+%Y-%m-%d %H:%M:%S' >> audit.log
List the 5 largest files in the current directory tree,find . -type f -exec du -h {} + | sort -rh | head -n 5
Show a tree view of the directory structure up to depth 2,tree -L 2
"Compress all "".log"" files into a single gzip archive named ""logs.gz""",tar -czf logs.gz *.log
"Monitor real‑time changes to the file ""access.log""",tail -f access.log
"Create a new user called ""devuser"" with a home directory at ""/home/devuser""",sudo useradd -m -d /home/devuser devuser
"Switch to the user ""devuser"" and start a bash shell",sudo su - devuser
"Print the first 5 fields of each line in ""data.csv"" using comma as delimiter","cut -d',' -f1-5 data.csv"
"Sort the lines of ""names.txt"" alphabetically and remove duplicates",sort -u names.txt
"Display the total number of lines across all "".md"" files in the repository","find . -name ""*.md"" -exec cat {} + | wc -l"
Generate a random 12‑character alphanumeric password and copy it to the clipboard (Linux with xclip),"tr -dc A-Za-z0-9 </dev/urandom | head -c12 | xclip -selection clipboard && echo ""Password copied to clipboard"""
Show the IP address of the machine's primary network interface,ip -4 addr show $(ip route get 8.8.8.8 | awk '{print $5}') | grep -oP '(?<=inet\s)\d+(\.\d+){3}'
"Create a Bash function called ""extract"" that extracts archives based on their extension","extract() { if [ -f ""$1"" ] ; then case ""$1"" in *.tar.bz2) tar xvjf ""$1"" ;; *.tar.gz) tar xvzf ""$1"" ;; *.zip) unzip ""$1"" ;; *.rar) unrar x ""$1"" ;; *) echo ""cannot extract '$1'"" ;; esac else echo ""$1 is not a valid file""; fi }"
"Find all empty directories under ""/var/www"" and delete them",find /var/www -type d -empty -delete
Show the CPU usage per core in a single line,"mpstat -P ALL 1 1 | awk '/Average/ && $2 ~ /[0-9]/ {printf ""CPU%s: %.1f%% "", $2, 100-$12}'"
"Schedule a cron job that runs ""/usr/local/bin/backup.sh"" every day at 2 am","(crontab -l 2>/dev/null; echo ""0 2 * * * /usr/local/bin/backup.sh"") | crontab -"
Display the last commit message in the current Git repository,git log -1 --pretty=%B
"Show the size of each subdirectory in the current folder, sorted largest first",du -sh */ | sort -rh
"Create a virtual environment named ""venv"" using Python 3.11",python3.11 -m venv venv
List all installed Homebrew packages on macOS,brew list
Upgrade all npm packages globally,npm update -g
Display the current system's hostname,hostname
"Show the last 10 lines of ""syslog"" and highlight the word ""failed"" in red","tail -n 10 /var/log/syslog | grep --color=always -i ""failed"""
"Print the SHA‑256 checksum of the file ""image.iso""",sha256sum image.iso
"Create a text file ""todo.txt"" with the content ""Finish report"" using a single command","echo ""Finish report"" > todo.txt"
"Append the line ""# Backup completed"" to the end of ""backup.log"" only if it does not already exist","grep -qxF ""# Backup completed"" backup.log || echo ""# Backup completed"" >> backup.log"
"Display a progress bar while copying a large file ""big.iso"" to ""/mnt/backup"" using pv",pv big.iso > /mnt/backup/big.iso
"List all environment variables that contain the word ""PATH""",env | grep PATH
"Convert all "".wav"" files in ""samples"" to ""mp3"" using ffmpeg, preserving the original filenames","for f in samples/*.wav; do ffmpeg -i ""$f"" ""${f%.wav}.mp3""; done"
Show the number of CPU cores available on the machine,nproc
"Print a random quote from the file ""quotes.txt""",shuf -n 1 quotes.txt
"Create a compressed zip archive named ""project.zip"" containing the ""src"" and ""docs"" directories, excluding any ""*.tmp"" files","zip -r project.zip src docs -x ""*.tmp"""
Display the current user's crontab entries,crontab -l
"Kill all processes named ""node""",pkill node
Show a summary of the most recent 5 commits in the current Git repository,git log -5 --oneline
Set the system timezone to UTC,sudo timedatectl set-timezone UTC
List all USB devices currently connected,lsusb
Print the current shell's version,echo $BASH_VERSION
"Create a new empty file named ""placeholder.txt"" only if it does not already exist",touch placeholder.txt
"Find all Python files that contain the string ""TODO"" and replace it with ""DONE"" in place","grep -rl ""TODO"" *.py | xargs sed -i 's/TODO/DONE/g'"
"Show the total number of lines of code (excluding blank lines) in the ""src"" directory for files with extensions "".c"" and "".h""","find src -type f \( -name ""*.c"" -o -name ""*.h"" \) -exec cat {} + | grep -v '^\s*$' | wc -l"
"List all files and directories in the current folder, including hidden ones, in long format",ls -la
"Display the first 10 lines of a file named ""report.txt""",head report.txt
"Show the last 20 lines of a log file called ""system.log""",tail -n 20 system.log
Find all Python files in the current directory and its subdirectories,"find . -type f -name ""*.py"""
"Search for the string ""ERROR"" in all .log files recursively and display line numbers","grep -R -n ""ERROR"" *.log"
"Count how many times the word ""failed"" appears in ""audit.txt""","grep -o ""failed"" audit.txt | wc -l"
"Replace all occurrences of ""foo"" with ""bar"" in the file ""data.csv"" (in-place)",sed -i 's/foo/bar/g' data.csv
"Sort the contents of ""names.txt"" alphabetically and remove duplicate lines",sort -u names.txt
"Show the disk usage of each directory in the current folder, human‑readable",du -h --max-depth=1
"Create a compressed tar archive named ""backup.tar.gz"" of the directory ""project""",tar -czvf backup.tar.gz project
"Extract the archive ""backup.tar.gz"" into the current directory",tar -xzvf backup.tar.gz
"Download a file from ""https://example.com/file.zip"" and save it as ""file.zip""",curl -O https://example.com/file.zip
Download a file from a URL and show a progress bar,wget --progress=bar https://example.com/file.zip
Show the 5 most recent commits in a Git repository,git log -5 --oneline
"Create a new Git branch called ""feature/login"" and switch to it",git checkout -b feature/login
List all listening TCP ports on the system,ss -tln
"Ping the host ""google.com"" 4 times and display only the summary line",ping -c 4 google.com | tail -1
Find all files larger than 100 MB in /var/log,find /var/log -type f -size +100M
Show the current user's crontab entries,crontab -l
Schedule a daily backup at 2 AM using cron (one‑liner to add to crontab),"(crontab -l 2>/dev/null; echo ""0 2 * * * /usr/local/bin/backup.sh"") | crontab -"
"Convert the file ""image.png"" to a JPEG named ""image.jpg"" using ImageMagick",convert image.png image.jpg
"Resize all JPEG images in the folder ""photos"" to a width of 800 px while keeping aspect ratio",mogrify -resize 800x -format jpg photos/*.jpg
Print the environment variable PATH,echo $PATH
Add /usr/local/bin to the PATH for the current session,export PATH=$PATH:/usr/local/bin
Display the last 5 commands you typed in the shell history,history | tail -5
"Show the differences between two files ""old.cfg"" and ""new.cfg"" in unified diff format",diff -u old.cfg new.cfg
"Count the number of lines, words, and characters in ""essay.txt""",wc essay.txt
Print the first field (username) from /etc/passwd for all users with UID >= 1000,awk -F: '$3>=1000 {print $1}' /etc/passwd
"Create a symbolic link named ""latest.log"" that points to ""log_2023_12_31.log""",ln -s log_2023_12_31.log latest.log
Display the kernel version,uname -r
Show the list of loaded kernel modules,lsmod
"Compress the file ""largefile.bin"" using xz with maximum compression",xz -9 largefile.bin
"Decompress ""archive.tar.xz"" and extract its contents",tar -xJf archive.tar.xz
Generate a random 16‑character alphanumeric password and copy it to the clipboard (Linux with xclip),"tr -dc 'A-Za-z0-9' </dev/urandom | head -c16 | xclip -selection clipboard && echo ""Password copied to clipboard"""
"Print the current CPU temperature (Linux, assuming /sys/class/thermal)","cat /sys/class/thermal/thermal_zone0/temp | awk '{print $1/1000 ""°C""}'"
"Find all lines containing the word ""TODO"" in all source files (*.c, *.h) and display them with file names","grep -Hn ""TODO"" *.c *.h"
Show the top 10 processes by memory usage,ps aux --sort=-%mem | head -n 11
"Create a new user called ""devuser"" with a home directory and default shell /bin/bash",sudo useradd -m -s /bin/bash devuser
"Change the password for user ""devuser"" (prompt will appear for input)",sudo passwd devuser
List all Docker containers (both running and stopped),docker ps -a
"Start a Docker container from the image ""nginx:latest"" mapping host port 8080 to container port 80",docker run -d -p 8080:80 nginx:latest
Set SELinux to permissive mode temporarily,sudo setenforce 0
"Display the size of the file ""video.mkv"" in a human‑readable format",du -h video.mkv | cut -f1
"Recursively change ownership of ""/var/www"" to user ""www-data"" and group ""www-data""",sudo chown -R www-data:www-data /var/www
"Find and delete all empty directories under ""/tmp""",find /tmp -type d -empty -delete
"Generate a SHA‑256 checksum for the file ""installer.sh""",sha256sum installer.sh
"Create a Bash function named ""extract"" that extracts archives based on file extension (zip, tar.gz, tar.bz2, 7z)","extract() { case ""$1"" in *.tar.gz|*.tgz) tar -xzf ""$1"" ;; *.tar.bz2|*.tbz2) tar -xjf ""$1"" ;; *.zip) unzip ""$1"" ;; *.7z) 7z x ""$1"" ;; *) echo ""Unsupported file type"" ;; esac }"
Run a command every 5 minutes using while loop and sleep (example: print timestamp),while true; do date; sleep 300; done
List all files in the current directory,ls
Show hidden files in the current directory,ls -a
"Display the first 10 lines of a file named ""example.log""",head -n 10 example.log
Count the number of lines in all .log files in /var/log,cat /var/log/*.log | wc -l
"Replace all occurrences of ""foo"" with ""bar"" in file ""data.txt"" (in‑place)",sed -i 's/foo/bar/g' data.txt
Show disk usage of the /home directory in human‑readable form,du -h /home
Create a compressed tar archive of the /var/log directory named logs.tar.gz,tar -czvf logs.tar.gz /var/log
"Monitor real‑time changes to a log file ""system.log""",tail -F system.log
Show the current CPU usage as a percentage,"top -bn1 | grep ""Cpu(s)"""
List all running processes sorted by memory usage (descending),ps aux --sort=-%mem
"Kill a process by name ""myapp""",pkill myapp
Show the IP address of the machine (IPv4),hostname -I | awk '{print $1}'
Download a file from URL https://example.com/file.txt to the current directory,curl -O https://example.com/file.txt
"Extract a zip file ""archive.zip"" into directory ""output""",unzip archive.zip -d output
"Show the difference between two files ""old.cfg"" and ""new.cfg""",diff old.cfg new.cfg
"Search for the pattern ""ERROR"" in all .log files, ignoring case","grep -i ""ERROR"" *.log"
"Display the last 5 lines of ""app.log"" and follow new lines",tail -n 5 -F app.log
"Set an environment variable MY_VAR to ""value"" for the current session","export MY_VAR=""value"""
"Append the text ""Completed"" to the file ""status.txt""","echo ""Completed"" >> status.txt"
Find files larger than 100 MiB in /data,find /data -type f -size +100M
"Create a new user ""alice"" and set her password to ""Secret123"" (non‑interactive)","sudo useradd alice && echo ""alice:Secret123"" | sudo chpasswd"
"Schedule a job to run every day at 02:00 that executes ""/usr/local/bin/backup.sh""","(crontab -l 2>/dev/null; echo ""0 2 * * * /usr/local/bin/backup.sh"") | crontab -"
Show the current Git branch in the repository,git rev-parse --abbrev-ref HEAD
Show the last 3 commits in the current Git repository (one‑line format),git log -3 --oneline
"Switch to the Git branch ""feature/login""",git checkout feature/login
Undo the last commit but keep the changes staged,git reset --soft HEAD~1
"Show the contents of a compressed .gz file ""data.gz"" without extracting",zcat data.gz
"Count the number of files (including hidden) in the directory ""/tmp""",ls -A /tmp | wc -l
Display the calendar for next month,"cal $(date -d ""+1 month"" +%m) $(date -d ""+1 month"" +%Y)"
Check if TCP port 8080 is open on localhost,nc -zv 127.0.0.1 8080
"Convert a PDF file ""doc.pdf"" to plain text ""doc.txt"" using pdftotext",pdftotext doc.pdf doc.txt
"Resize all jpg images in the folder ""photos"" to 800x600 pixels (overwrite)",mogrify -resize 800x600! photos/*.jpg
"Find and delete empty directories under ""/var/tmp""",find /var/tmp -type d -empty -delete
Show the current date and time in UTC,date -u
"Create a symbolic link named ""latest.log"" pointing to ""/var/log/app.log""",ln -s /var/log/app.log latest.log
Show the top 5 processes by CPU usage,ps aux --sort=-%cpu | head -n 6
Monitor network traffic on interface eth0 (display packets),tcpdump -i eth0
"Show the difference between two directories ""dir1"" and ""dir2""",diff -qr dir1 dir2
"Compress a file ""report.txt"" using bzip2 (creates report.txt.bz2)",bzip2 report.txt
List the 10 largest files in /var (human readable),du -ah /var | sort -rh | head -n 10
"Create a new empty file named ""placeholder.txt""",touch placeholder.txt
