prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
Change the permissions of script.sh to be executable by the owner only.,chmod 700 script.sh,chmod 700 script.sh,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments to set permissions as specified."
"Append the line ""export PATH=$PATH:/opt/tools"" to the end of ~/.bashrc if it is not already present.",grep -qxF 'export PATH=$PATH:/opt/tools' ~/.bashrc || echo 'export PATH=$PATH:/opt/tools' >> ~/.bashrc,grep -qxF 'export PATH=$PATH:/opt/tools' ~/.bashrc || echo 'export PATH=$PATH:/opt/tools' >> ~/.bashrc,True,True,True,True,2,2,2,True,5,"Correct tool and command structure; ensures line is only added if not present, honoring the constraint."
List the 5 most memory‑intensive processes sorted descending.,ps aux --sort=-%mem | head -n 6,ps aux --sort=-%mem | head -n 6,True,True,True,True,2,2,2,True,5,"Correct tool, correct sorting flag, correct number of lines to show for top 5 processes."
Show the current IPv4 routing table.,ip -4 route show,ip -4 route show,True,True,True,True,2,2,2,True,5,Correct tool and flags used to show the IPv4 routing table.
Convert all .wav audio files in the music directory to .mp3 at 192k bitrate using ffmpeg.,"for f in music/*.wav; do ffmpeg -i ""$f"" -b:a 192k ""${f%.wav}.mp3""; done","for f in music/*.wav; do ffmpeg -i ""$f"" -b:a 192k ""${f%.wav}.mp3""; done",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct args, and all constraints are honored."
Generate a random 16‑character alphanumeric password and copy it to the clipboard (Linux with xclip).,tr -dc A-Za-z0-9 </dev/urandom | head -c16 | xclip -selection clipboard,tr -dc A-Za-z0-9 </dev/urandom | head -c16 | xclip -selection clipboard,True,True,True,True,2,2,2,True,5,Correct tool and command structure; generates a 16-character alphanumeric password and copies it to the clipboard using xclip.
Schedule a cron job to run /usr/local/bin/backup.sh at 2 am every Sunday.,"(crontab -l 2>/dev/null; echo ""0 2 * * 0 /usr/local/bin/backup.sh"") | crontab -","(crontab -l 2>/dev/null; echo ""0 2 * * 0 /usr/local/bin/backup.sh"") | crontab -",True,True,True,True,2,2,2,True,5,Correct tool and syntax; properly schedules the cron job with the right time and command.
"Display the size of each subdirectory in the current folder, sorted largest first.",du -sh */ | sort -hr,du -sh */ | sort -hr,True,True,True,True,2,2,2,True,5,Correct tool and flags; sorts by size in descending order as requested.
"Find and kill all processes containing the string ""node"" in their command line.",pkill -f node,pkill -f node,True,True,True,True,2,2,2,True,5,Correct tool and flag used to find and kill processes with 'node' in their command line.
Show the amount of free memory in megabytes.,free -m | awk '/Mem:/ {print $4}',free -m | awk '/Mem:/ {print $4}',True,True,True,True,2,2,2,True,5,Correct tool and flags; correctly extracts free memory in MB using awk.
Create a symbolic link named latest.log pointing to /var/log/app.log.,ln -s /var/log/app.log latest.log,ln -s /var/log/app.log latest.log,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
List all open TCP ports and the processes that own them.,sudo lsof -iTCP -sTCP:LISTEN -P -n,sudo lsof -iTCP -sTCP:LISTEN -P -n,True,True,True,True,2,2,2,True,5,Correct tool and flags used to list open TCP ports and their owning processes.
"Compress the file largefile.bin using gzip, keeping the original file.",gzip -c largefile.bin > largefile.bin.gz,gzip -c largefile.bin > largefile.bin.gz,True,True,True,True,2,2,2,True,5,Correct tool and flags; compresses the file and keeps the original as required.
"Display the first occurrence of the word ""FAIL"" in the log file system.log, along with its line number.","grep -n ""FAIL"" system.log | head -n 1","grep -n ""FAIL"" system.log | head -n 1",True,True,True,True,2,2,2,True,5,Correct tool and flags; correctly uses grep with -n and head -n 1 to get the first occurrence and line number.
Show a summary of CPU usage per core.,mpstat -P ALL 1 1,mpstat -P ALL 1 1,True,True,True,True,2,2,2,True,5,Correct tool and flags used to show CPU usage per core.
Copy the directory /var/www/html to /backup/www preserving permissions and timestamps.,rsync -a /var/www/html/ /backup/www/,rsync -a /var/www/html/ /backup/www/,True,True,True,True,2,2,2,True,5,Correct tool and flags for preserving permissions and timestamps; args are correct.
List all Docker containers (running and stopped) with their status.,"docker ps -a --format ""{{.ID}}\t{{.Names}}\t{{.Status}}""","docker ps -a --format ""{{.ID}}\t{{.Names}}\t{{.Status}}""",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct formatting to display container details as requested."
Pull the latest version of the nginx image from Docker Hub.,docker pull nginx:latest,docker pull nginx:latest,True,True,True,True,2,2,2,True,5,Correct tool and flag; uses the correct tag for the latest version of the nginx image.
"Show the environment variables that contain the word ""PATH"".",env | grep PATH,env | grep PATH,True,True,True,True,2,2,2,True,5,Correct tool and command to show environment variables containing 'PATH'.
Create a 1 GB file filled with zeros named zero.img.,dd if=/dev/zero of=zero.img bs=1M count=1024,dd if=/dev/zero of=zero.img bs=1M count=1024,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments to create a 1GB file."
Display the last 5 commit messages in the current Git repository.,"git log -5 --pretty=format:""%h %s""","git log -5 --pretty=format:""%h %s""",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct formatting of the output."
"Switch to the branch feature/login in Git, creating it if it does not exist.",git checkout -B feature/login,git checkout -B feature/login,True,True,True,True,2,2,2,True,5,Correct tool and flag used; creates the branch if it doesn't exist as specified.
Show the total number of lines of code (excluding blank lines) in the src directory for *.c and *.h files.,"find src -type f \( -name ""*.c"" -o -name ""*.h"" \) -exec cat {} + | grep -v '^\s*$' | wc -l","find src -type f \( -name ""*.c"" -o -name ""*.h"" \) -exec cat {} + | grep -v '^\s*$' | wc -l",True,True,True,True,2,2,2,True,5,Correct tool and approach; all required flags and constraints are met.
Display the current SELinux mode.,getenforce,getenforce,True,True,True,True,2,2,2,True,5,Correct tool and no flags needed; fully satisfies the input_text requirement.
Set the system timezone to UTC.,sudo timedatectl set-timezone UTC,sudo timedatectl set-timezone UTC,True,True,True,True,2,2,2,True,5,Correct tool and flag used to set the timezone to UTC as specified.
List the top 10 largest files in /var/log.,find /var/log -type f -exec du -h {} + | sort -rh | head -n 10,find /var/log -type f -exec du -h {} + | sort -rh | head -n 10,True,True,True,True,2,2,2,True,5,Correct tool and command structure; properly lists top 10 largest files in /var/log.
Show a progress bar while copying a large directory using rsync.,rsync -a --info=progress2 /source/ /dest/,rsync -a --info=progress2 /source/ /dest/,True,True,True,True,2,2,2,True,5,Correct tool and flag for progress bar; matches expected exactly.
Print the hostname of the machine in uppercase.,hostname | tr '[:lower:]' '[:upper:]',hostname | tr '[:lower:]' '[:upper:]',True,True,True,True,2,2,2,True,5,Correct tool and flags; converts hostname to uppercase as requested.
Check whether port 443 on remote host example.com is open.,nc -zvw3 example.com 443,nc -zvw3 example.com 443,True,True,True,True,2,2,2,True,5,Correct tool and flags used to check port 443 on example.com.
Generate a SHA‑256 checksum for the file archive.tar.gz and save it to archive.sha256.,sha256sum archive.tar.gz > archive.sha256,sha256sum archive.tar.gz > archive.sha256,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and correct output file specified."
List all files in /tmp that have not been accessed in the last 30 days.,find /tmp -type f -atime +30,find /tmp -type f -atime +30,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments; fully honors the input_text constraint."
Display the current user's UID and GID.,id -u && id -g,id -u && id -g,True,True,True,True,2,2,2,True,5,Correct tool and flags; displays UID and GID as required.
"Create a new Bash function named greet that prints ""Hello, $1!"" and add it to ~/.bashrc.","echo -e '\nfunction greet() { echo ""Hello, $1!""; }' >> ~/.bashrc","echo -e '\nfunction greet() { echo ""Hello, $1!""; }' >> ~/.bashrc",True,True,True,True,2,2,2,True,5,Correctly creates the function and appends it to ~/.bashrc with proper escaping.
Show the version of the installed Python interpreter.,python3 --version,python3 --version,True,True,True,True,2,2,2,True,5,Correct tool and flag used to show Python version.
Convert the text file data.txt to uppercase and save as data_upper.txt.,tr '[:lower:]' '[:upper:]' < data.txt > data_upper.txt,tr '[:lower:]' '[:upper:]' < data.txt > data_upper.txt,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
List all mounted filesystems of type ext4.,mount | grep 'type ext4',mount | grep 'type ext4',True,True,True,True,2,2,2,True,5,Correct tool and flag; correctly filters for ext4 filesystems.
Display the last 100 lines of the Apache error log and follow new entries in real time.,tail -n 100 -f /var/log/apache2/error.log,tail -n 100 -f /var/log/apache2/error.log,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Create a temporary file securely and print its name.,tempfile=$(mktemp) && echo $tempfile,tempfile=$(mktemp) && echo $tempfile,True,True,True,True,2,2,2,True,5,Correct tool and approach; securely creates a temporary file and prints its name as required.
Show the current kernel version.,uname -r,uname -r,True,True,True,True,2,2,2,True,5,Correct tool and flag used to show the current kernel version.
"Replace tabs with four spaces in the file script.py, editing the file in place.",sed -i 's/\t/    /g' script.py,sed -i 's/\t/    /g' script.py,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct args, and correct in-place editing with proper escaping."
Find duplicate files (by checksum) in the directory ~/documents and list them.,fdupes -r ~/documents,fdupes -r ~/documents,True,True,True,True,2,2,2,True,5,Correct tool and flag used to find duplicates by checksum in the specified directory.
Schedule a system shutdown in 15 minutes with a custom message.,"sudo shutdown +15 ""System will shut down in 15 minutes""","sudo shutdown +15 ""System will shut down in 15 minutes""",True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct message; all constraints and arguments are honored."
List all users on the system who have UID greater than or equal to 1000.,awk -F: '$3>=1000 {print $1}' /etc/passwd,awk -F: '$3>=1000 {print $1}' /etc/passwd,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Show the amount of free space on the root partition in gigabytes.,df -h / | awk 'NR==2 {print $4}',df -h / | awk 'NR==2 {print $4}',True,True,True,True,2,2,2,True,5,Correct tool and command structure; correctly extracts the free space in gigabytes from the root partition.
"Create a zip archive named project.zip containing the contents of the folder project/, excluding any .git directories.","zip -r project.zip project/ -x ""*/.git/*""","zip -r project.zip project/ -x ""*/.git/*""",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct exclusion pattern; all constraints are honored."
Display the current shell's exit status of the last command.,echo $?,echo $?,True,True,True,True,2,2,2,True,5,Correct tool and flag; displays the exit status as required.
"Search for the pattern ""^ERROR"" at the beginning of lines in log.txt and count matches.","grep -c ""^ERROR"" log.txt","grep -c ""^ERROR"" log.txt",True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; fully satisfies the input_text requirements."
List all symbolic links in /usr/local/bin and show their targets.,find /usr/local/bin -type l -ls,find /usr/local/bin -type l -ls,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments; fully honors the input_text constraints."
Set the environment variable JAVA_HOME to /usr/lib/jvm/java-11-openjdk and export it for the current session.,export JAVA_HOME=/usr/lib/jvm/java-11-openjdk,export JAVA_HOME=/usr/lib/jvm/java-11-openjdk,True,True,True,True,2,2,2,True,5,Correct command that sets and exports the JAVA_HOME variable as required.
Show the current working directory,pwd,pwd,True,True,True,True,2,2,2,True,5,"Correct tool, no flags needed, no arguments required, and no constraints to honor."
"List all files, including hidden ones, in the current directory",ls -a,ls -a,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, matches expected exactly."
Display detailed information for files in the /var/log directory,ls -lh /var/log,ls -lh /var/log,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments; fully matches expected."
Find all .txt files recursively from the current directory,"find . -type f -name ""*.txt""","find . -type f -name ""*.txt""",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments; matches expected exactly."
Search for the word 'ERROR' in syslog and show line numbers,"grep -n ""ERROR"" /var/log/syslog","grep -n ""ERROR"" /var/log/syslog",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Show the first 10 lines of the file /etc/passwd,head -n 10 /etc/passwd,head -n 10 /etc/passwd,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
Show the last 20 lines of the file /var/log/syslog,tail -n 20 /var/log/syslog,tail -n 20 /var/log/syslog,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
Display the current user's username,whoami,whoami,True,True,True,True,2,2,2,True,5,Correct tool and no flags needed; fully satisfies the input_text requirement.
Show disk usage of the /home directory in human readable format,du -sh /home,du -sh /home,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Show a tree view of the current directory up to depth 2,tree -L 2,tree -L 2,True,True,True,True,2,2,2,True,5,Correct tool and flag used to show tree view up to depth 2.
Count the number of lines in the file /etc/passwd,wc -l < /etc/passwd,wc -l < /etc/passwd,True,True,True,True,2,2,2,True,5,Correct tool and flag; correct argument; no constraints to honor; safe command.
Show the current date and time in ISO 8601 format,date --iso-8601=seconds,date --iso-8601=seconds,True,True,True,True,2,2,2,True,5,Correct tool and flag used to output date and time in ISO 8601 format as requested.
Create a compressed tar archive named backup.tar.gz of the /etc directory,tar -czf backup.tar.gz /etc,tar -czf backup.tar.gz /etc,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Extract the archive backup.tar.gz into the current directory,tar -xzf backup.tar.gz,tar -xzf backup.tar.gz,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments; matches expected exactly."
Show the IP addresses of all network interfaces,ip -brief address,ip -brief address,True,True,True,True,2,2,2,True,5,Correct tool and flag usage to show IP addresses of network interfaces.
Display the process tree for the current user,pstree -u $USER,pstree -u $USER,True,True,True,True,2,2,2,True,5,Correct tool and flag usage with proper argument for current user.
Monitor real-time changes to the file /var/log/syslog,tail -f /var/log/syslog,tail -f /var/log/syslog,True,True,True,True,2,2,2,True,5,Correct tool and flag used to monitor real-time changes to the specified file.
Find all files larger than 100 MB in /var and delete them after confirmation,find /var -type f -size +100M -exec rm -i {} \;,find /var -type f -size +100M -exec rm -i {} \;,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct args, and constraints honored with -i for confirmation."
Replace all occurrences of 'foo' with 'bar' in file config.txt and save changes in-place,sed -i 's/foo/bar/g' config.txt,sed -i 's/foo/bar/g' config.txt,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and in-place editing as requested."
Show the 5 most memory‑intensive processes,ps aux --sort=-%mem | head -n 6,ps aux --sort=-%mem | head -n 6,True,True,True,True,2,2,2,True,5,Correct tool and flags; shows top 5 memory-intensive processes by sorting and taking the first 6 lines (header + 5 entries).
Display the current shell's environment variables sorted alphabetically,printenv | sort,printenv | sort,True,True,True,True,2,2,2,True,5,Correct tool and approach; uses printenv and sort to achieve the task as specified.
Download the file from https://example.com/file.txt to /tmp using curl and show progress,curl -O --progress-bar https://example.com/file.txt,curl -O --progress-bar https://example.com/file.txt,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct argument; matches expected exactly."
Upload local file report.pdf to https://example.com/upload using wget,wget --method=PUT --body-file=report.pdf https://example.com/upload,wget --method=PUT --body-file=report.pdf https://example.com/upload,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments; matches expected exactly."
Create a new user named alice with a home directory and default shell /bin/bash,sudo useradd -m -s /bin/bash alice,sudo useradd -m -s /bin/bash alice,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Add the current user to the sudo group,sudo usermod -aG sudo $USER,sudo usermod -aG sudo $USER,True,True,True,True,2,2,2,True,5,Correct tool and command; adds current user to sudo group as specified.
Show the difference between file1.txt and file2.txt ignoring whitespace changes,diff -w file1.txt file2.txt,diff -w file1.txt file2.txt,True,True,True,True,2,2,2,True,5,"Correct tool and flag used to ignore whitespace changes, matching the expected command."
List all listening TCP ports with their associated processes,sudo ss -tlnp,sudo ss -tlnp,True,True,True,True,2,2,2,True,5,Correct tool and flags used to list listening TCP ports with processes.
Display the last 5 commands from the shell history,history | tail -n 5,history | tail -n 5,True,True,True,True,2,2,2,True,5,Correct tool and flags; displays the last 5 commands from history as required.
Schedule a script backup.sh to run daily at 2 am using cron,"(crontab -l 2>/dev/null; echo ""0 2 * * * /path/to/backup.sh"") | crontab -","(crontab -l 2>/dev/null; echo ""0 2 * * * /path/to/backup.sh"") | crontab -",True,True,True,True,2,2,2,True,5,Correct tool and cron syntax; properly appends to crontab without overwriting.
Show the size of each subdirectory in /var sorted by size descending,du -sh /var/* | sort -hr,du -sh /var/* | sort -hr,True,True,True,True,2,2,2,True,5,"Correct tool, flags, and sorting; matches expected exactly."
Find all symbolic links in the current directory and list their targets,find . -type l -ls,find . -type l -ls,True,True,True,True,2,2,2,True,5,Correct tool and flags used to find symbolic links and list their targets.
Compress all .log files in /var/log into a single zip archive logs.zip,zip logs.zip /var/log/*.log,zip logs.zip /var/log/*.log,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct args; matches expected exactly."
Extract only the file config.yaml from archive settings.tar.gz,tar -xzf settings.tar.gz config.yaml,tar -xzf settings.tar.gz config.yaml,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct argument to extract only config.yaml from the archive."
Show the CPU usage per core in real time,mpstat -P ALL 1,mpstat -P ALL 1,True,True,True,True,2,2,2,True,5,Correct tool and flags used to show CPU usage per core in real time.
List all installed packages on an Ubuntu system,dpkg -l,dpkg -l,True,True,True,True,2,2,2,True,5,Correct tool and command to list all installed packages on an Ubuntu system.
Search the manual pages for commands related to networking,apropos network,apropos network,True,True,True,True,2,2,2,True,5,Correct tool and flag used to search manual pages for networking-related commands.
Print the first 3 columns of /etc/passwd separated by commas,"cut -d ':' -f1,3,5 /etc/passwd | tr ':' ','","cut -d ':' -f1,3,5 /etc/passwd | tr ':' ','",True,True,True,True,2,2,2,True,5,Correct tool and flags; correct args and constraints honored. Output format matches requirement.
Create an empty file named placeholder.txt only if it does not already exist,touch placeholder.txt,touch placeholder.txt,True,True,True,True,2,2,2,True,5,Correct tool and command; creates the file only if it does not exist as required.
Rename all *.jpeg files in the current directory to have a .jpg extension,"for f in *.jpeg; do mv ""$f"" ""${f%.jpeg}.jpg""; done","for f in *.jpeg; do mv ""$f"" ""${f%.jpeg}.jpg""; done",True,True,True,True,2,2,2,True,5,Correct tool (mv) and logic; all required flags and constraints are met.
Display the current system load averages,cat /proc/loadavg,cat /proc/loadavg,True,True,True,True,2,2,2,True,5,Correct tool and command to display system load averages.
Show the top 10 most frequently used commands from history,"history | awk '{CMD[$2]++} END {for (c in CMD) print CMD[c] "" "" c}' | sort -nr | head -n 10","history | awk '{CMD[$2]++} END {for (c in CMD) print CMD[c] "" "" c}' | sort -nr | head -n 10",True,True,True,True,2,2,2,True,5,Correct tool and command chain; all flags and arguments are properly used and constraints are honored.
Check if port 8080 is open on localhost,nc -zv 127.0.0.1 8080,nc -zv 127.0.0.1 8080,True,True,True,True,2,2,2,True,5,Correct tool and flags; checks port 8080 on localhost as requested.
Print the current kernel version,uname -r,uname -r,True,True,True,True,2,2,2,True,5,Correct tool and flag used to print the current kernel version.
Display the amount of free and used memory in megabytes,free -m,free -m,True,True,True,True,2,2,2,True,5,Correct tool and flag used to display memory in megabytes as requested.
Convert the file data.txt from DOS to Unix line endings,dos2unix data.txt,dos2unix data.txt,True,True,True,True,2,2,2,True,5,Correct tool and correct argument; fully satisfies the input_text requirement.
Show the last login time for user bob,last -n 1 bob,last -n 1 bob,True,True,True,True,2,2,2,True,5,Correct tool and flags; shows the last login for user bob as requested.
"Create a directory tree ~/projects/{app,lib,tests} in one command","mkdir -p ~/projects/{app,lib,tests}","mkdir -p ~/projects/{app,lib,tests}",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct use of brace expansion to create the directory tree."
Append the text 'Completed' to the end of the file notes.md,"echo ""Completed"" >> notes.md","echo ""Completed"" >> notes.md",True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
"List all files in /etc sorted by modification time, newest first",ls -lt /etc,ls -lt /etc,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag for sorting by modification time, and correct argument."
Find all Python files that contain the string 'TODO' and print their filenames,"grep -rl ""TODO"" --include=*.py .","grep -rl ""TODO"" --include=*.py .",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments; matches expected exactly."
Show a summary of disk usage for each mounted filesystem,df -h,df -h,True,True,True,True,2,2,2,True,5,Correct tool and flag used to show disk usage summary in human-readable format.
Set the executable permission for all shell scripts in the current directory,chmod +x *.sh,chmod +x *.sh,True,True,True,True,2,2,2,True,5,Correct tool and command to set executable permission for .sh files in the current directory.
Display the environment variable PATH with each directory on a new line,echo $PATH | tr ':' '\n',echo $PATH | tr ':' '\n',True,True,True,True,2,2,2,True,5,Correct tool and flags; splits PATH by colon and replaces with newlines as requested.
Create a symbolic link named latest.log pointing to /var/log/app.log,ln -s /var/log/app.log latest.log,ln -s /var/log/app.log latest.log,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
"Print the current date in the format 'Day, DD Month YYYY'","date ""+%A, %d %B %Y""","date ""+%A, %d %B %Y""",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct formatting as specified in the input text."
Show the difference between the two branches master and feature using git,git diff master..feature,git diff master..feature,True,True,True,True,2,2,2,True,5,Correct tool and command syntax; properly shows the difference between the specified branches.
List the 10 largest files in the home directory,find ~ -type f -exec du -h {} + | sort -hr | head -n 10,find ~ -type f -exec du -h {} + | sort -hr | head -n 10,True,True,True,True,2,2,2,True,5,Correct tool and command structure; properly lists the 10 largest files in the home directory.
"Combine the contents of file1.txt and file2.txt into a new file combined.txt, removing duplicate lines",cat file1.txt file2.txt | sort | uniq > combined.txt,cat file1.txt file2.txt | sort | uniq > combined.txt,True,True,True,True,2,2,2,True,5,"Correct tool and approach; combines files, sorts, and removes duplicates as required."
Run the command ls in a new terminal window (GNOME),"gnome-terminal -- bash -c ""ls; exec bash""","gnome-terminal -- bash -c ""ls; exec bash""",True,True,True,True,2,2,2,True,5,Correct tool and command structure; uses proper escaping for GNOME terminal execution.
Display the HTTP response headers for https://example.com using curl,curl -I https://example.com,curl -I https://example.com,True,True,True,True,2,2,2,True,5,Correct tool and flag used to display HTTP headers; matches expected exactly.
Create a 5‑minute countdown timer that beeps when finished,"for i in {5..1}; do echo $i; sleep 60; done; echo -e ""\a""","for i in {5..1}; do echo $i; sleep 60; done; echo -e ""\a""",True,True,True,True,2,2,2,True,5,"Correctly implements a 5-minute countdown with beep, using proper syntax and constraints."
Show the current git branch name,git rev-parse --abbrev-ref HEAD,git rev-parse --abbrev-ref HEAD,True,True,True,True,2,2,2,True,5,Correct tool and flags used to show the current git branch name.
List all files in the current directory that are larger than 10 KB,find . -type f -size +10k,find . -type f -size +10k,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments to find files larger than 10KB."
Print the first word of each line in file data.csv,"cut -d ',' -f1 data.csv","cut -d ',' -f1 data.csv",True,True,True,True,2,2,2,True,5,"Correct tool, correct delimiter and field selection, matches expected exactly."
Display the number of CPU cores available,nproc,nproc,True,True,True,True,2,2,2,True,5,Correct tool and no flags needed; command is accurate and safe.
Show the current timezone setting,"timedatectl | grep ""Time zone""","timedatectl | grep ""Time zone""",True,True,True,True,2,2,2,True,5,Correct tool and command to show the current timezone setting.
Check the syntax of the Bash script script.sh without executing it,bash -n script.sh,bash -n script.sh,True,True,True,True,2,2,2,True,5,Correct tool and flag used to check syntax without execution.
Replace spaces with underscores in all filenames in the current directory,"for f in *\ *; do mv ""$f"" ""${f// /_}""; done","for f in *\ *; do mv ""$f"" ""${f// /_}""; done",True,True,True,True,2,2,2,True,5,"Correct tool (mv in a loop), correct flag (no flags needed), correct args (replaces spaces with underscores), and constraints honored."
Create a random password of 16 characters and copy it to the clipboard (Linux with xclip),tr -dc A-Za-z0-9 </dev/urandom | head -c16 | xclip -selection clipboard,tr -dc A-Za-z0-9 </dev/urandom | head -c16 | xclip -selection clipboard,True,True,True,True,2,2,2,True,5,Correct tool and command; uses xclip to copy to clipboard as requested.
Show the last 5 git commit messages on the current branch,git log -5 --pretty=format:'%h %s',git log -5 --pretty=format:'%h %s',True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct formatting of commit messages."
