prompt,command
enable swap on /swapfile,sudo swapon /swapfile
enable swap,sudo swapon YOUR_SWAPFILE
use tshark to capture packets on eth0,sudo tshark -i eth0
use tshark to capture packets,sudo tshark -i YOUR_INTERFACE
use whois to look up domain information for example.com,whois example.com
use whois to look up domain information,whois YOUR_DOMAIN
verify file against checksum file.txt.sha256,sha256sum -c file.txt.sha256
verify file against checksum,sha256sum -c YOUR_CHECKSUM_FILE
convert audio format from input.wav to output.mp3,ffmpeg -i input.wav output.mp3
convert audio format,ffmpeg -i YOUR_INPUT YOUR_OUTPUT
stress test memory with 2G for 60 seconds,stress --vm 1 --vm-bytes 2G --timeout 60
stress test memory,stress --vm 1 --vm-bytes YOUR_SIZE --timeout YOUR_TIMEOUT
compress a file data.txt with bzip2,bzip2 data.txt
compress a file with bzip2,bzip2 YOUR_FILE
unmount a SSHFS mount /local/mount,fusermount -u /local/mount
unmount a SSHFS mount,fusermount -u YOUR_MOUNT_POINT
add a user johndoe to a group docker,sudo usermod -aG docker johndoe
add a user to a group,sudo usermod -aG YOUR_GROUP YOUR_USERNAME
set AppArmor profile for nginx to complain mode,sudo aa-complain /etc/apparmor.d/usr.sbin.nginx
set AppArmor profile to complain mode,sudo aa-complain YOUR_APPARMOR_PROFILE
capture only HTTP traffic on eth0,"sudo tshark -i eth0 -f ""tcp port 80"""
capture only HTTP traffic,"sudo tshark -i YOUR_INTERFACE -f ""tcp port YOUR_PORT"""
set environment variable API_KEY to secret123 permanently,echo 'export API_KEY=secret123' >> ~/.bashrc && source ~/.bashrc
set environment variable permanently,echo 'export YOUR_VAR=YOUR_VALUE' >> ~/.bashrc && source ~/.bashrc
view GitHub Actions run details for run 12345,gh run view 12345
view GitHub Actions run details,gh run view YOUR_RUN_ID
set CPU affinity for a process,taskset -cp YOUR_CORES YOUR_PID
compile main.c with optimization flag O2 to output,gcc -O2 -o output main.c
compile with optimization,gcc -O2 -o YOUR_OUTPUT YOUR_SOURCE
