prompt,command
create a GitHub repository,gh repo create YOUR_REPO --public
show the MAC address of interface eth0,cat /sys/class/net/eth0/address
show the MAC address of an interface,cat /sys/class/net/YOUR_INTERFACE/address
create a here document and save to file output.txt,cat << 'EOF' > output.txt
create a here document and save to file,cat << 'EOF' > YOUR_FILE
show SELinux context of files in /var/www,ls -Z /var/www
show SELinux context of files,ls -Z YOUR_DIRECTORY
AWS invoke a Lambda function myfunction,aws lambda invoke --function-name myfunction output.json
AWS invoke a Lambda function,aws lambda invoke --function-name YOUR_FUNCTION output.json
search for the word error in server.log,"grep ""error"" server.log"
search for the word in a log file,"grep ""YOUR_WORD"" YOUR_LOGFILE"
export a MongoDB collection users from mydb to users.json,mongoexport --db mydb --collection users --out users.json
export a MongoDB collection,mongoexport --db YOUR_DATABASE --collection YOUR_COLLECTION --out YOUR_OUTPUT
copy files from source/ to dest/ preserving attributes,cp -a source/ dest/
copy files preserving attributes,cp -a YOUR_SOURCE YOUR_DESTINATION
add a specific file index.html to staging,git add index.html
add a specific file to staging,git add YOUR_FILE
run a command apt update as root,sudo apt update
run a command as root,sudo YOUR_COMMAND
print the second column of a CSV data.csv,"awk -F',' '{print $2}' data.csv"
print the second column of a CSV,"awk -F',' '{print $2}' YOUR_FILE"
find requests taking more than 5 seconds in access.log,awk '$NF > 5' access.log
find requests taking more than 5 seconds,awk '$NF > YOUR_THRESHOLD' YOUR_LOGFILE
disable a service nginx from starting on boot,sudo systemctl disable nginx
disable a service from starting on boot,sudo systemctl disable YOUR_SERVICE
parse JSON from command line data.json,jq '.' data.json
parse JSON from command line,jq '.' YOUR_FILE
count the number of lines in data.txt,wc -l data.txt
count the number of lines in a file,wc -l YOUR_FILE
show the OOM score of process 1234,cat /proc/1234/oom_score
show the OOM score of a process,cat /proc/YOUR_PID/oom_score
change the default shell to /bin/zsh,chsh -s /bin/zsh
change the default shell,chsh -s YOUR_SHELL_PATH
show the SMART health status of disk /dev/sda,sudo smartctl -H /dev/sda
show the SMART health status of a disk,sudo smartctl -H YOUR_DEVICE
send a SIGHUP to process 1234,kill -HUP 1234
send a SIGHUP to a process,kill -HUP YOUR_PID
initialize a new Next.js app my-app,npx create-next-app my-app
initialize a new Next.js app,npx create-next-app YOUR_APP_NAME
search for a pattern warning in log.txt case-insensitively,"grep -i ""warning"" log.txt"
search for a pattern case-insensitively,"grep -i ""YOUR_PATTERN"" YOUR_FILE"
list contents of a tar archive archive.tar,tar -tf archive.tar
list contents of a tar archive,tar -tf YOUR_ARCHIVE
import data into MongoDB collection users in database mydb from users.json,mongoimport --db mydb --collection users --file users.json
import data into MongoDB,mongoimport --db YOUR_DATABASE --collection YOUR_COLLECTION --file YOUR_FILE
