prompt,command
convert a markdown file document.md to HTML document.html,pandoc document.md -o document.html
convert a markdown file to HTML,pandoc YOUR_INPUT -o YOUR_OUTPUT
convert a video format from input.avi to output.mp4,ffmpeg -i input.avi output.mp4
convert a video format,ffmpeg -i YOUR_INPUT YOUR_OUTPUT
sample 5 random lines from a file data.txt,shuf -n 5 data.txt
sample random lines from a file,shuf -n YOUR_COUNT YOUR_FILE
check if a remote port example.com:443 is open,"timeout 5 bash -c 'cat < /dev/null > /dev/tcp/example.com/443' && echo ""Open"" || echo ""Closed"""
check if a remote port is open,"timeout 5 bash -c 'cat < /dev/null > /dev/tcp/YOUR_HOST/YOUR_PORT' && echo ""Open"" || echo ""Closed"""
bring a network interface eth0 down,sudo ip link set eth0 down
bring a network interface down,sudo ip link set YOUR_INTERFACE down
show file modification time for file.txt,stat -c %y file.txt
show file modification time,stat -c %y YOUR_FILE
find all locations of a binary python,whereis python
find all locations of a binary,whereis YOUR_BINARY
perform an OS detection scan on 192.168.1.1,sudo nmap -O 192.168.1.1
perform an OS detection scan,sudo nmap -O YOUR_IP
show inode information for a file file.txt,stat -c %i file.txt
show inode information for a file,stat -c %i YOUR_FILE
run a Java program Main,java Main
run a Java program,java YOUR_CLASS
GCP deploy a Cloud Function myfunction,gcloud functions deploy myfunction --runtime python39 --trigger-http
GCP deploy a Cloud Function,gcloud functions deploy YOUR_FUNCTION --runtime YOUR_RUNTIME --trigger-http
test disk speed with hdparm for /dev/sda,sudo hdparm -Tt /dev/sda
test disk speed with hdparm,sudo hdparm -Tt YOUR_DEVICE
swap two columns in a file data.txt,"awk '{print $2, $1}' data.txt"
swap two columns in a file,"awk '{print $2, $1}' YOUR_FILE"
create a GRE tunnel from 10.0.0.1 to 10.0.0.2,sudo ip tunnel add gre1 mode gre remote 10.0.0.2 local 10.0.0.1 ttl 255
create a GRE tunnel,sudo ip tunnel add YOUR_TUNNEL mode gre remote YOUR_REMOTE_IP local YOUR_LOCAL_IP ttl 255
delete line 3 from a file file.txt,sed -i '3d' file.txt
delete specific lines from a file,sed -i 'YOUR_LINE_NUMBERd' YOUR_FILE
transfer a file file.txt via netcat on port 1234,nc -l 1234 < file.txt
transfer a file via netcat,nc -l YOUR_PORT < YOUR_FILE
follow HTTP redirects and show all responses from https://example.com,"curl -L -v https://example.com 2>&1 | grep -E ""^[<>] """
follow HTTP redirects and show all responses,"curl -L -v YOUR_URL 2>&1 | grep -E ""^[<>] """
run ESLint on src/,npx eslint src/
run ESLint on a file,npx eslint YOUR_DIRECTORY
use fmt to reformat text to a width of 80 characters in file.txt,fmt -w 80 file.txt
use fmt to reformat text to a specific width,fmt -w YOUR_WIDTH YOUR_FILE
show protocol statistics from a pcap file capture.pcap,"tshark -r capture.pcap -q -z io,stat,1"
show protocol statistics from a pcap file,"tshark -r YOUR_FILE -q -z io,stat,1"
create a volume group myvg from /dev/sdb,sudo vgcreate myvg /dev/sdb
create a volume group,sudo vgcreate YOUR_VG YOUR_DEVICE
convert decimal 255 to hexadecimal,printf '%x\n' 255
convert decimal to hexadecimal,printf '%x\n' YOUR_NUMBER
run a Java JAR file app.jar,java -jar app.jar
run a Java JAR file,java -jar YOUR_JAR
show the full path of a command python3,type -a python3
show the full path of a command,type -a YOUR_COMMAND
docker create a volume myvolume,docker volume create myvolume
docker create a volume,docker volume create YOUR_VOLUME
docker view logs of container container_id with follow,docker logs -f container_id
docker view logs with follow,docker logs -f YOUR_CONTAINER_ID
check the status of a service nginx,sudo systemctl status nginx
check the status of a service,sudo systemctl status YOUR_SERVICE
