prompt,command
copy SSH key to remote server,ssh-copy-id user@hostname
list all listening TCP ports,ss -tlnp
monitor network traffic,sudo tcpdump -i eth0
test HTTP endpoint with curl,curl -I https://example.com
send a POST request with curl,"curl -X POST -d '{""key"":""value""}' https://api.example.com"
download and save a file with curl,curl -o output.html https://example.com
show all system services,systemctl list-units --type=service
start a service called nginx,sudo systemctl start nginx
stop a service called apache2,sudo systemctl stop apache2
restart a service,sudo systemctl restart nginx
enable a service to start on boot,sudo systemctl enable nginx
check the status of a service,sudo systemctl status nginx
view system logs with journalctl,journalctl -xe
show kernel messages,dmesg
display CPU information,lscpu
display block device information,lsblk
show USB devices,lsusb
show PCI devices,lspci
mount a USB drive,sudo mount /dev/sdb1 /mnt/usb
unmount a drive,sudo umount /mnt/usb
check filesystem for errors,sudo fsck /dev/sda1
format a partition as ext4,sudo mkfs.ext4 /dev/sdb1
show all mounted filesystems,mount | column -t
create a swap file of 1GB,sudo fallocate -l 1G /swapfile
check swap usage,swapon --show
show system uptime,uptime
reboot the system,sudo reboot
shutdown the system now,sudo shutdown now
schedule a shutdown in 30 minutes,sudo shutdown +30
cancel a scheduled shutdown,sudo shutdown -c
set the system timezone,sudo timedatectl set-timezone America/New_York
synchronize system clock with NTP,sudo timedatectl set-ntp true
add user to a group,sudo usermod -aG docker john
list all groups for a user,groups john
change password for a user,sudo passwd john
lock a user account,sudo usermod -L john
unlock a user account,sudo usermod -U john
delete a user and their home directory,sudo userdel -r john
list all users on the system,cat /etc/passwd
list all groups on the system,cat /etc/group
show the last logins,last
show who is currently logged in,who
display the hostname,hostname
change the hostname,sudo hostnamectl set-hostname newhostname
show the system's OS information,cat /etc/os-release
check kernel version,uname -r
show the architecture of the system,uname -m
list all aliases defined,alias
create an alias for a command,alias ll='ls -la'
remove an alias,unalias ll
source a bash profile,source ~/.bashrc
edit the bash profile,nano ~/.bashrc
check the exit status of the last command,echo $?
run a command only if the previous one succeeded,command1 && command2
run a command only if the previous one failed,command1 || command2
run multiple commands regardless of success,command1; command2
create a zip file from a directory,zip -r archive.zip directory/
unzip a file to a specific directory,unzip archive.zip -d /path/to/dir
create a gzip compressed file,gzip file.txt
decompress a gzip file,gunzip file.txt.gz
create a bzip2 compressed file,bzip2 file.txt
decompress a bzip2 file,bunzip2 file.txt.bz2
list contents of a tar archive,tar -tf archive.tar
add a file to an existing tar archive,tar -rf archive.tar newfile.txt
create a compressed archive excluding a directory,tar -czf archive.tar.gz --exclude=node_modules project/
split a large file into 100MB chunks,split -b 100M largefile.bin chunk_
reassemble split files,cat chunk_* > largefile.bin
encrypt a file with gpg,gpg -c secret.txt
decrypt a gpg encrypted file,gpg secret.txt.gpg
generate a random password,openssl rand -base64 32
create a self-signed SSL certificate,openssl req -x509 -newkey rsa:4096 -keyout key.pem -out cert.pem -days 365 -nodes
check SSL certificate of a website,openssl s_client -connect example.com:443
calculate SHA256 checksum of a file,sha256sum file.txt
base64 encode a string,"echo ""hello"" | base64"
base64 decode a string,"echo ""aGVsbG8="" | base64 -d"
find all files containing a specific string,"grep -rl ""search_term"" /path/to/search"
search for a pattern recursively in all files,"grep -rn ""pattern"" ."
search for a pattern ignoring case,"grep -i ""pattern"" file.txt"
show lines that do not match a pattern,"grep -v ""exclude"" file.txt"
count occurrences of a pattern in a file,"grep -c ""pattern"" file.txt"
show only matching part of lines,"grep -o ""pattern"" file.txt"
search with extended regular expressions,"grep -E ""pattern1|pattern2"" file.txt"
search for whole words only,"grep -w ""word"" file.txt"
show context lines around matches,"grep -C 3 ""error"" log.txt"
extract specific columns from a CSV,"cut -d',' -f1,3 data.csv"
extract characters 1 through 10 from each line,cut -c1-10 file.txt
join two files on a common field,join file1.txt file2.txt
paste two files side by side,paste file1.txt file2.txt
reverse the contents of a file,tac file.txt
reverse each line of a file,rev file.txt
print specific columns using awk,"awk '{print $1, $3}' file.txt"
sum a column of numbers using awk,awk '{sum+=$1} END {print sum}' numbers.txt
filter rows where a column matches a condition,awk '$3 > 100' data.txt
print lines between two patterns,"sed -n '/start/,/end/p' file.txt"
delete lines matching a pattern,sed -i '/pattern/d' file.txt
insert a line before a match,sed -i '/pattern/i\new line' file.txt
insert a line after a match,sed -i '/pattern/a\new line' file.txt
replace text only on specific lines,sed -i '5s/old/new/' file.txt
print line numbers of matching lines,"grep -n ""pattern"" file.txt"
sort a file numerically,sort -n numbers.txt
sort a file in reverse order,sort -r file.txt
sort by a specific column,"sort -k2 -t',' data.csv"
get unique lines with their count,sort file.txt | uniq -c
get only duplicate lines,sort file.txt | uniq -d
translate characters in a string,"echo ""hello"" | tr 'helo' 'HELO'"
squeeze repeated characters,"echo ""heeello"" | tr -s 'e'"
delete specific characters from text,"echo ""hello 123"" | tr -d '0-9'"
format text into columns,column -t file.txt
wrap text to a specific width,fold -w 80 file.txt
format text with fixed width fields,"printf ""%-20s %10d\n"" ""name"" 42"
print the nth line of a file,sed -n '5p' file.txt
print lines from line 10 to line 20,"sed -n '10,20p' file.txt"
remove the first line of a file,sed -i '1d' file.txt
remove the last line of a file,sed -i '$d' file.txt
add a header line to a file,sed -i '1i\header line' file.txt
remove carriage returns from a file,sed -i 's/\r$//' file.txt
convert tabs to spaces,expand file.txt
convert spaces to tabs,unexpand file.txt
show differences between two directories,diff -rq dir1/ dir2/
create a patch file,diff -u original.txt modified.txt > changes.patch
apply a patch file,patch < changes.patch
show file in octal dump format,od file.bin
show file in hexadecimal format,xxd file.bin
edit a binary file with hexdump,xxd file.bin | vim -
check the type and encoding of a file,file --mime file.txt
convert file encoding from ISO to UTF-8,iconv -f ISO-8859-1 -t UTF-8 input.txt -o output.txt
display a file with line numbers,cat -n file.txt
display non-printing characters,cat -A file.txt
display file with page breaks,less file.txt
write output to both file and terminal,"echo ""test"" | tee output.txt"
append output to a file and display it,"echo ""test"" | tee -a output.txt"
send an email from command line,"echo ""body"" | mail -s ""subject"" user@example.com"
check the mail queue,mailq
download an entire website for offline viewing,wget -r -l 5 https://example.com
resume a partially downloaded file,wget -c https://example.com/largefile.zip
download files matching a pattern,"wget -r -A ""*.pdf"" https://example.com"
limit download speed,wget --limit-rate=500k https://example.com/file.zip
mirror a website,wget --mirror --convert-links https://example.com
test API with authentication,curl -u username:password https://api.example.com
send form data with curl,"curl -X POST -F ""file=@upload.txt"" https://example.com/upload"
send JSON data with curl,"curl -H ""Content-Type: application/json"" -d '{""name"":""test""}' https://api.example.com"
follow redirects with curl,curl -L https://example.com
show only response headers,curl -s -D - -o /dev/null https://example.com
measure response time with curl,"curl -o /dev/null -s -w ""%{time_total}\n"" https://example.com"
upload a file via FTP,curl -T file.txt ftp://ftp.example.com/ --user user:pass
connect to a remote database,mysql -u root -p -h hostname database_name
dump a MySQL database,mysqldump -u root -p database > backup.sql
restore a MySQL database,mysql -u root -p database < backup.sql
run a SQL query from command line,"mysql -u root -p -e ""SELECT * FROM users"" database"
connect to PostgreSQL database,psql -U postgres -h localhost -d mydb
dump a PostgreSQL database,pg_dump -U postgres mydb > backup.sql
restore a PostgreSQL database,psql -U postgres mydb < backup.sql
start a Redis CLI session,redis-cli
check MongoDB status,"mongosh --eval ""db.serverStatus()"""
find files by permission,find . -perm 644
find files owned by a specific user,find . -user john
find directories only,find . -type d
find files only,find . -type f
find and execute a command on results,"find . -name ""*.log"" -exec rm {} \;"
find files modified more than 7 days ago,find . -mtime +7
find files accessed in the last hour,find . -amin -60
find files and sort by size,find . -type f -exec ls -lS {} + | sort -k5 -rn
find duplicate files by checksum,find . -type f -exec md5sum {} + | sort | uniq -d -w32
find broken symbolic links,find . -xtype l
find files with specific extension and move them,"find . -name ""*.bak"" -exec mv {} /backup/ \;"
find and replace text in multiple files,"find . -name ""*.txt"" -exec sed -i 's/old/new/g' {} \;"
find files not matching a pattern,"find . -not -name ""*.py"""
find files matching multiple patterns,"find . \( -name ""*.py"" -o -name ""*.js"" \)"
find files between two sizes,find . -size +10M -size -100M
find recently modified configuration files,"find /etc -name ""*.conf"" -mtime -7"
list all cron jobs for all users,for user in $(cut -f1 -d: /etc/passwd); do crontab -u $user -l 2>/dev/null; done
run a script at system startup,sudo crontab -e
schedule a task for midnight every day,"echo ""0 0 * * * /path/to/script.sh"" | crontab -"
schedule a task for every Monday at 9am,"echo ""0 9 * * 1 /path/to/script.sh"" | crontab -"
run a command at a specific time,"echo ""command"" | at 10:00"
list scheduled at jobs,atq
remove a scheduled at job,atrm 1
monitor file system events,inotifywait -m /path/to/watch
run a script when a file changes,inotifywait -e modify /path/to/file && /path/to/script.sh
create a RAM disk,sudo mount -t tmpfs -o size=512m tmpfs /mnt/ramdisk
benchmark disk I/O speed,dd if=/dev/zero of=testfile bs=1G count=1 oflag=direct
check disk health with SMART,sudo smartctl -a /dev/sda
list all partitions,sudo fdisk -l
resize a partition,sudo resize2fs /dev/sda1
show inode usage,df -i
find files consuming the most inodes,find / -xdev -printf '%h\n' | sort | uniq -c | sort -rn | head -20
check for open file descriptors,ls /proc/self/fd
set file access control lists,setfacl -m u:john:rwx file.txt
get file access control lists,getfacl file.txt
set immutable attribute on a file,sudo chattr +i important.txt
remove immutable attribute,sudo chattr -i important.txt
list extended attributes,lsattr file.txt
create a hard link,ln original.txt hardlink.txt
find all hard links to a file,find / -samefile file.txt
change default shell for a user,sudo chsh -s /bin/zsh john
list available shells,cat /etc/shells
run a command as another user,sudo -u john command
run a command with a clean environment,env -i command
set a variable for a single command,VAR=value command
export a function in bash,export -f function_name
show all exported variables,export -p
trap a signal in a script,trap 'echo caught signal' SIGINT
send a specific signal to a process,kill -SIGUSR1 1234
forcefully kill a process,kill -9 1234
kill all processes by name,killall process_name
kill processes matching a pattern,"pkill -f ""pattern"""
find process ID by name,"pgrep -f ""process_name"""
run a process with low priority,nice -n 19 command
change priority of a running process,renice -n 10 -p 1234
limit CPU usage of a process,cpulimit -p 1234 -l 50
run a process immune to hangups,nohup command &
run a command with a timeout,timeout 30s command
run a command and measure its execution time,time command
show a process tree,pstree
trace system calls of a process,strace -p 1234
trace library calls of a process,ltrace command
profile a command's execution,perf stat command
show open network connections,ss -tunap
show bandwidth usage per interface,iftop
monitor network connections in real time,nethogs
scan open ports on a host,nmap -sT hostname
check if a remote port is open,nc -zv hostname 80
create a simple TCP server,nc -l -p 8080
transfer files over network with netcat,nc -l -p 1234 > received_file
set up a simple HTTP server,python3 -m http.server 8080
add a static route,sudo ip route add 10.0.0.0/24 via 192.168.1.1
show ARP cache,arp -a
flush DNS cache,sudo systemd-resolve --flush-caches
configure a network interface,sudo ip addr add 192.168.1.100/24 dev eth0
bring a network interface up,sudo ip link set eth0 up
bring a network interface down,sudo ip link set eth0 down
show firewall rules,sudo iptables -L -n
allow incoming traffic on port 80,sudo iptables -A INPUT -p tcp --dport 80 -j ACCEPT
block an IP address,sudo iptables -A INPUT -s 10.0.0.1 -j DROP
save firewall rules,sudo iptables-save > /etc/iptables.rules
set up port forwarding,sudo iptables -t nat -A PREROUTING -p tcp --dport 80 -j REDIRECT --to-port 8080
show UFW firewall status,sudo ufw status verbose
enable UFW firewall,sudo ufw enable
allow a port through UFW,sudo ufw allow 22/tcp
deny a port through UFW,sudo ufw deny 23
create an SSH tunnel,ssh -L 8080:localhost:80 user@remote
create a reverse SSH tunnel,ssh -R 8080:localhost:80 user@remote
run a command on a remote server,"ssh user@host ""command"""
copy a directory recursively via SCP,scp -r local_dir user@host:/remote/path
sync files between directories,rsync -av source/ destination/
sync files to a remote server,rsync -avz -e ssh source/ user@host:/dest/
sync and delete files not in source,rsync -av --delete source/ destination/
show rsync progress,rsync -av --progress source/ destination/
dry run rsync to see what would change,rsync -avn source/ destination/
create a screen session,screen -S mysession
detach from a screen session,screen -d
reattach to a screen session,screen -r mysession
list screen sessions,screen -ls
create a tmux session,tmux new -s mysession
detach from tmux session,tmux detach
attach to a tmux session,tmux attach -t mysession
list tmux sessions,tmux ls
split tmux pane vertically,tmux split-window -v
split tmux pane horizontally,tmux split-window -h
kill a tmux session,tmux kill-session -t mysession
send keys to a tmux pane,"tmux send-keys ""command"" Enter"
run a python script,python3 script.py
run a python script in the background,python3 script.py &
run a node.js application,node app.js
install node.js dependencies,npm install
run npm start script,npm start
run npm test,npm test
initialize a new npm project,npm init -y
install a global npm package,npm install -g package_name
list globally installed npm packages,npm list -g --depth=0
clear npm cache,npm cache clean --force
install ruby gems from Gemfile,bundle install
run a ruby script,ruby script.rb
compile a C program,gcc -o program program.c
compile a C++ program,g++ -o program program.cpp
compile with debugging symbols,gcc -g -o program program.c
run make to build a project,make
clean build artifacts,make clean
install compiled program,sudo make install
compile and run a Java program,javac Main.java && java Main
create a JAR file,jar cf app.jar *.class
run a Go program,go run main.go
build a Go binary,go build -o app main.go
run Go tests,go test ./...
format Go code,gofmt -w .
run Rust program,cargo run
build Rust project,cargo build --release
run Rust tests,cargo test
install Rust dependencies,cargo build
create a new Rust project,cargo new project_name
show current iptables NAT rules,sudo iptables -t nat -L -n
watch changes to a directory,watch -n 1 ls -la
continuously monitor a log file for errors,tail -f /var/log/syslog | grep -i error
show the amount of data written to disk,iostat -d
check memory usage details,vmstat
show CPU usage per core,mpstat -P ALL
count the number of TCP connections by state,ss -s
find the largest directories on the root partition,du -h --max-depth=1 / 2>/dev/null | sort -rh | head -20
find all setuid files on the system,find / -perm -4000 -type f 2>/dev/null
display shared library dependencies,ldd /usr/bin/ls
check which package provides a file,dpkg -S /usr/bin/vim
search for available packages,apt-cache search keyword
show package details,apt-cache show package_name
list files installed by a package,dpkg -L package_name
hold a package at current version,sudo apt-mark hold package_name
show package upgrade history,cat /var/log/apt/history.log
fix broken package dependencies,sudo apt --fix-broken install
clean up unused packages,sudo apt autoremove -y
add a PPA repository,sudo add-apt-repository ppa:user/repo
remove a PPA repository,sudo add-apt-repository --remove ppa:user/repo
list all PPAs,"grep -r ""^deb "" /etc/apt/sources.list.d/"
install a .deb package,sudo dpkg -i package.deb
check for security updates,sudo apt list --upgradable
show systemd boot time,systemd-analyze
show services that slow down boot,systemd-analyze blame
show systemd service dependencies,systemd-analyze critical-chain
create a systemd service file,sudo systemctl edit --force --full myservice.service
reload systemd daemon,sudo systemctl daemon-reload
show journal logs for a specific service,journalctl -u nginx.service
show journal logs since last boot,journalctl -b
show journal logs from a specific time,"journalctl --since ""2024-01-01"" --until ""2024-01-02"""
clear old journal logs,sudo journalctl --vacuum-size=500M
follow journal logs in real time,journalctl -f
write a message to system log,"logger ""Custom log message"""
check SELinux status,sestatus
set SELinux to permissive mode,sudo setenforce 0
show AppArmor status,sudo aa-status
find world-writable files,find / -perm -002 -type f 2>/dev/null
find files with no owner,find / -nouser 2>/dev/null
check for failed login attempts,"grep ""Failed password"" /var/log/auth.log"
show sudo command history,grep sudo /var/log/auth.log
list open ports and associated processes,sudo lsof -i -P -n
check for rootkits,sudo rkhunter --check
scan for viruses with ClamAV,sudo clamscan -r /home
generate a random string,cat /dev/urandom | tr -dc 'a-zA-Z0-9' | head -c 32
create a password hash,openssl passwd -6 -salt xyz password
verify a file's GPG signature,gpg --verify file.sig file
create a GPG key pair,gpg --full-generate-key
encrypt a file for a recipient,gpg -e -r recipient@email.com file.txt
sign a file with GPG,gpg --sign file.txt
check system load average,cat /proc/loadavg
show CPU temperature,sensors
show battery status on laptop,upower -i /org/freedesktop/UPower/devices/battery_BAT0
list all block devices with filesystem info,lsblk -f
show detailed hardware information,sudo lshw -short
display DMI/BIOS information,sudo dmidecode -t bios
check if a command exists,which command_name
find all locations of a command,whereis command_name
show the manual page for a command,man command_name
search man pages by keyword,apropos keyword
display brief command description,whatis command_name
show command type,type command_name
display command help,command_name --help
run the previous command with sudo,sudo !!
repeat the last command,!!
search command history,"history | grep ""search_term"""
clear command history,history -c
execute a specific command from history,!42
show real-time I/O statistics,iotop
trace file system operations,fatrace
show open files in a directory,lsof +D /path/to/dir
limit memory usage for a process,ulimit -v 1048576
show system resource limits,ulimit -a
set max open files limit,ulimit -n 65536
create a core dump,kill -ABRT pid
analyze a core dump,gdb program core
show shared memory segments,ipcs
remove a shared memory segment,ipcrm -m shmid
show message queues,ipcs -q
show semaphores,ipcs -s
run a command in a new namespace,unshare --mount --pid --fork command
enter a running container's namespace,nsenter -t pid --mount --pid
create a cgroup for resource limiting,sudo cgcreate -g cpu:/mygroup
set CPU limit for a cgroup,sudo cgset -r cpu.cfs_quota_us=50000 mygroup
run a command in a cgroup,sudo cgexec -g cpu:mygroup command
list all network namespaces,ip netns list
create a network namespace,sudo ip netns add mynamespace
run a command in a network namespace,sudo ip netns exec mynamespace command
show virtual network interfaces,ip link show type veth
create a virtual ethernet pair,sudo ip link add veth0 type veth peer name veth1
show iptables packet counts,sudo iptables -L -v -n
log iptables dropped packets,"sudo iptables -A INPUT -j LOG --log-prefix ""Dropped: """
rate limit connections with iptables,sudo iptables -A INPUT -p tcp --dport 80 -m limit --limit 25/minute -j ACCEPT
show connection tracking table,sudo conntrack -L
flush connection tracking table,sudo conntrack -F
capture network packets to a file,sudo tcpdump -w capture.pcap -i eth0
read a packet capture file,tcpdump -r capture.pcap
filter packet capture by port,sudo tcpdump -i eth0 port 80
filter packet capture by host,sudo tcpdump -i eth0 host 192.168.1.1
show HTTP traffic only,sudo tcpdump -i eth0 -A -s 0 'tcp port 80'
create an encrypted tar archive,tar -czf - directory/ | openssl enc -aes-256-cbc -out encrypted.tar.gz.enc
decrypt and extract an encrypted archive,openssl enc -d -aes-256-cbc -in encrypted.tar.gz.enc | tar -xzf -
securely delete a file,shred -vfz -n 5 sensitive_file.txt
generate an SSH key with a comment,"ssh-keygen -t ed25519 -C ""user@example.com"""
test SSH connection without logging in,ssh -T git@github.com
create an SSH config file entry,"echo 'Host myserver
  HostName 192.168.1.100
  User admin
  Port 2222' >> ~/.ssh/config"
forward local port through SSH,ssh -L 3306:localhost:3306 user@remote
use SSH as a SOCKS proxy,ssh -D 1080 user@remote
batch rename files with a pattern,rename 's/\.txt$/\.md/' *.txt
rename files to lowercase,rename 'y/A-Z/a-z/' *
add a prefix to all files,"for f in *; do mv ""$f"" ""prefix_$f""; done"
add a suffix before the extension,"for f in *.txt; do mv ""$f"" ""${f%.txt}_backup.txt""; done"
number files sequentially,"i=1; for f in *.jpg; do mv ""$f"" ""$(printf '%03d' $i).jpg""; i=$((i+1)); done"
remove spaces from filenames,"for f in *\ *; do mv ""$f"" ""${f// /_}""; done"
convert file extensions,"for f in *.jpeg; do mv ""$f"" ""${f%.jpeg}.jpg""; done"
create multiple directories at once,"mkdir -p project/{src,test,docs,config}"
create a directory tree structure,"mkdir -p app/{frontend/{components,pages,styles},backend/{routes,models,middleware}}"
copy directory structure without files,find source/ -type d -exec mkdir -p dest/{} \;
merge contents of two directories,rsync -av dir1/ dir2/
find and remove empty directories,find . -type d -empty -delete
change permissions recursively,chmod -R 755 directory/
change ownership recursively,sudo chown -R user:group directory/
set default permissions for new files,umask 022
set sticky bit on a directory,chmod +t /shared_dir
set setgid bit on a directory,chmod g+s /shared_dir
create a temporary file,mktemp
create a temporary directory,mktemp -d
write a here document to a file,"cat <<EOF > config.txt
setting1=value1
setting2=value2
EOF"
process substitution to compare outputs,diff <(ls dir1) <(ls dir2)
use xargs to pass arguments to a command,"find . -name ""*.txt"" | xargs grep ""pattern"""
use xargs with null delimiter for special characters,"find . -name ""*.txt"" -print0 | xargs -0 grep ""pattern"""
parallel execution with xargs,"find . -name ""*.png"" -print0 | xargs -0 -P 4 -I {} convert {} -resize 50% {}"
use xargs to batch delete files,"find . -name ""*.tmp"" -print0 | xargs -0 rm"
use parallel to process files concurrently,"find . -name ""*.csv"" | parallel gzip"
run a command for each line in a file,"while read line; do echo ""$line""; done < file.txt"
process a CSV file line by line,"while IFS=',' read -r col1 col2 col3; do echo ""$col1: $col2""; done < data.csv"
read input with a prompt,read -p 'Enter your name: ' name
read input silently for passwords,read -sp 'Enter password: ' password
loop through files in a directory,"for f in /path/to/dir/*; do echo ""$f""; done"
loop with a counter,"for i in $(seq 1 10); do echo ""$i""; done"
infinite loop with sleep,"while true; do echo ""running""; sleep 5; done"
conditional file check,"test -f file.txt && echo ""exists"" || echo ""not found"""
check if a directory exists,"[ -d /path/to/dir ] && echo ""exists"""
check if a variable is empty,"[ -z ""$VAR"" ] && echo ""empty"""
check if a string is not empty,"[ -n ""$VAR"" ] && echo ""not empty"""
arithmetic in bash,echo $((5 + 3))
floating point arithmetic,"echo ""5.5 + 3.2"" | bc"
calculate percentage,"echo ""scale=2; 75/200*100"" | bc"
convert between number bases,"echo ""obase=16; 255"" | bc"
generate a sequence of numbers,seq 1 100
generate a sequence with a step,seq 0 5 100
pad numbers with zeros,seq -w 1 100
create a numbered list from a file,cat -n file.txt
pretty print JSON,cat data.json | python3 -m json.tool
extract a field from JSON with jq,cat data.json | jq '.field'
filter JSON array with jq,cat data.json | jq '.[] | select(.age > 30)'
transform JSON with jq,"cat data.json | jq '{name: .first, age: .years}'"
convert JSON to CSV with jq,"cat data.json | jq -r '.[] | [.name, .age] | @csv'"
merge two JSON files with jq,jq -s '.[0] * .[1]' file1.json file2.json
validate JSON syntax,"python3 -c ""import json; json.load(open('data.json'))"""
convert CSV to JSON,"python3 -c ""import csv,json; print(json.dumps(list(csv.DictReader(open('data.csv')))))"""
convert YAML to JSON,"python3 -c ""import yaml,json; print(json.dumps(yaml.safe_load(open('config.yaml'))))"""
pretty print XML,xmllint --format file.xml
validate XML against a schema,xmllint --schema schema.xsd file.xml
extract data from XML with xpath,"xmllint --xpath ""//element"" file.xml"
convert markdown to HTML,pandoc README.md -o output.html
convert HTML to PDF,wkhtmltopdf page.html output.pdf
extract text from a PDF,pdftotext document.pdf output.txt
merge multiple PDFs,pdfunite file1.pdf file2.pdf merged.pdf
split a PDF into individual pages,pdfseparate input.pdf page_%d.pdf
rotate a PDF page,pdftk input.pdf rotate 1-endright output rotated.pdf
resize an image,convert input.jpg -resize 800x600 output.jpg
convert image format,convert input.png output.jpg
create a thumbnail,convert input.jpg -thumbnail 150x150^ -gravity center -extent 150x150 thumb.jpg
batch convert images,mogrify -format png *.jpg
add a watermark to an image,composite -dissolve 30% -gravity southeast watermark.png input.jpg output.jpg
get image dimensions,"identify -format ""%wx%h"" image.jpg"
strip EXIF data from images,exiftool -all= photo.jpg
optimize PNG files,optipng *.png
optimize JPEG files,jpegoptim --strip-all *.jpg
convert video format,ffmpeg -i input.avi output.mp4
extract audio from video,ffmpeg -i video.mp4 -vn -acodec mp3 audio.mp3
resize a video,ffmpeg -i input.mp4 -vf scale=1280:720 output.mp4
trim a video clip,ffmpeg -i input.mp4 -ss 00:01:00 -to 00:02:00 -c copy clip.mp4
concatenate video files,ffmpeg -f concat -i filelist.txt -c copy output.mp4
create a GIF from a video,"ffmpeg -i input.mp4 -vf ""fps=10,scale=320:-1"" output.gif"
add subtitles to a video,ffmpeg -i input.mp4 -vf subtitles=subs.srt output.mp4
extract frames from a video,"ffmpeg -i input.mp4 -vf ""fps=1"" frame_%04d.png"
record screen,ffmpeg -f x11grab -s 1920x1080 -i :0.0 output.mp4
record audio from microphone,arecord -f cd -d 10 output.wav
play an audio file,aplay output.wav
convert audio format,ffmpeg -i input.wav output.mp3
adjust audio volume,"ffmpeg -i input.mp3 -af ""volume=2.0"" output.mp3"
