prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
check SSL certificate expiry of a website example.com,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -enddate,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -dates,False,True,True,True,1,2,1,True,3,"Correct tool and command structure but uses -enddate instead of -dates as expected, which may not fully meet the constraint."
check SSL certificate expiry of a website,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -enddate,echo | openssl s_client -connect YOUR_DOMAIN:443 2>/dev/null | openssl x509 -noout -dates,False,True,True,True,1,1,1,True,3,"Correct tool and command structure but uses -enddate instead of -dates as expected, which may not fully meet the input constraint."
add a default gateway 192.168.1.1,sudo ip route add default via 192.168.1.1,sudo ip route add default via 192.168.1.1,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
add a default gateway,sudo ip route add default via 192.168.1.1,sudo ip route add default via YOUR_GATEWAY,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses placeholder for gateway as input_text did not specify a value.
test IPv6 connectivity to ipv6.google.com,ping6 -c 4 ipv6.google.com,ping6 -c 4 ipv6.google.com,True,True,True,True,2,2,2,True,5,Correct tool and flags used for testing IPv6 connectivity.
test IPv6 connectivity,ping6 -c 4 -W 1 2001:db8::1,ping6 -c 4 YOUR_HOST,False,True,True,True,2,1,1,True,4,Correct tool and flags; uses a specific IPv6 address instead of placeholder but still tests connectivity as requested.
format a partition /dev/sdb1 as ext4,sudo mkfs.ext4 /dev/sdb1,sudo mkfs.ext4 /dev/sdb1,True,True,True,True,2,2,2,True,5,Correct tool and arguments; properly formats the partition as ext4 as requested.
format a partition as ext4,sudo mkfs.ext4 /dev/sdb1,sudo mkfs.ext4 YOUR_DEVICE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses a specific device path instead of placeholder but still valid as input_text didn't specify a device.
read user input in a script for name,"read -p ""Enter your name: "" name","read -p ""Enter your name: "" name",True,True,True,True,2,2,2,True,5,Correct tool and flag usage with proper argument for user input.
read user input in a script,"read -p ""Enter your name: "" name","read -p ""YOUR_PROMPT: "" YOUR_VARIABLE",False,True,True,True,2,1,1,True,4,"Correct tool and flag usage, but args use specific values instead of placeholders as expected."
write hello world to a file hello.txt,"echo ""hello world"" > hello.txt","echo ""Hello World"" > hello.txt",False,True,True,True,2,1,1,True,4,"Correct tool and command structure, but 'hello world' is lowercase while expected has 'Hello World' with capitalization."
write hello world to a file,"echo ""hello world"" > file.txt","echo ""YOUR_TEXT"" > YOUR_FILE",False,True,True,True,2,1,1,True,4,"Correct tool and command structure, but uses hardcoded 'hello world' and 'file.txt' instead of placeholders as expected."
limit a process ./task to a specific CPU core 0,taskset -c 0 ./task,taskset -c 0 ./task,True,True,True,True,2,2,2,True,5,Correct tool and flag used to limit the process to CPU core 0.
limit a process to a specific CPU core,taskset -c 0 YOUR_COMMAND,taskset -c YOUR_CORE YOUR_COMMAND,False,True,True,True,2,2,2,True,5,Correct tool and flag; placeholder for core and command is appropriate as input_text did not specify them.
extract a specific field name from JSON data.json,jq '.field_name' data.json,jq '.name' data.json,False,True,True,True,2,1,1,True,3,"Correct tool and structure, but 'field_name' is a placeholder instead of 'name' as specified in input_text."
extract a specific field from JSON,jq '.field' data.json,jq '.YOUR_FIELD' YOUR_FILE,False,True,True,True,2,1,1,True,3,"Correct tool and structure, but uses hardcoded 'field' and 'data.json' instead of placeholders as expected."
check if a package curl is installed,"command -v curl >/dev/null 2>&1 && echo ""installed"" || echo ""not installed""",dpkg -l | grep curl,False,True,True,True,2,2,2,True,4,"Uses command -v which is correct for checking if a command is available, but expected used dpkg which is specific to Debian-based systems. Both are valid but the tool choice differs."
check if a package is installed,dpkg -l | grep -q '^ii  python3-pip',dpkg -l | grep YOUR_PACKAGE,False,True,True,True,2,1,1,True,3,Uses dpkg and grep but hardcodes 'python3-pip' instead of using a placeholder for the package name as expected.
view logs for a specific service nginx,journalctl -u nginx,journalctl -u nginx,True,True,True,True,2,2,2,True,5,Correct tool and flag used to view logs for the nginx service.
view logs for a specific service,journalctl -u nginx.service,journalctl -u YOUR_SERVICE,False,True,True,True,2,1,1,True,3,"Correct tool and flag, but uses a specific service (nginx) instead of a placeholder as expected."
compare two files file1.txt and file2.txt,diff file1.txt file2.txt,diff file1.txt file2.txt,True,True,True,True,2,2,2,True,5,Correct tool and arguments; matches expected exactly.
compare two files,diff file1.txt file2.txt,diff YOUR_FILE1 YOUR_FILE2,False,True,True,True,2,2,2,True,5,Correct tool and command structure; uses specific filenames instead of placeholders as input_text implies specific files.
convert a CSV data.csv to JSON,cat data.csv | jq '.',"python3 -c ""import csv,json,sys; print(json.dumps(list(csv.DictReader(open('data.csv')))))""",False,True,True,True,0,0,0,True,1,Uses jq which may not handle CSV correctly; expected uses Python which is more reliable for CSV to JSON conversion.
convert a CSV to JSON,cat data.csv | jq '.',"python3 -c ""import csv,json,sys; print(json.dumps(list(csv.DictReader(open('YOUR_FILE')))))""",False,True,True,True,0,0,0,True,1,Uses jq which may not handle CSV correctly; expected uses Python which is more reliable for CSV to JSON conversion.
merge two JSON files a.json and b.json,join -j 1 -t $'\t' a.json b.json,jq -s '.[0] * .[1]' a.json b.json,False,True,True,False,0,0,0,True,1,Uses join which is not suitable for merging JSON files; correct tool is jq but command is incorrect.
merge two JSON files,jq -s '.[0] * .[1]' file1.json file2.json,jq -s '.[0] * .[1]' YOUR_FILE1 YOUR_FILE2,False,True,True,True,2,1,1,True,4,"Correct tool and operation, but uses hardcoded filenames instead of placeholders as expected."
kubernetes apply a configuration file deployment.yaml,kubectl apply -f deployment.yaml,kubectl apply -f deployment.yaml,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
kubernetes apply a configuration file,kubectl apply -f config.yaml,kubectl apply -f YOUR_CONFIG_FILE,False,True,True,True,2,2,2,True,5,"Correct tool and flag; uses a specific file name instead of a placeholder, which is acceptable as input_text implies a specific file."
set the sticky bit on a directory /shared,sudo chmod +t /shared,chmod +t /shared,False,True,True,True,2,2,2,True,5,Correct tool and flag used to set the sticky bit on /shared.
set the sticky bit on a directory,chmod +t /tmp/secret,chmod +t YOUR_DIRECTORY,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses placeholder YOUR_DIRECTORY as input_text did not specify a directory.
capture packets on eth0 and save to capture.pcap,sudo tcpdump -i eth0 -w capture.pcap,sudo tcpdump -i eth0 -w capture.pcap,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
capture packets and save to file,sudo tcpdump -w capture.pcap,sudo tcpdump -i YOUR_INTERFACE -w YOUR_OUTPUT,False,True,True,True,2,1,1,True,3,"Correct tool and flag for capturing packets, but lacks interface and output file placeholders as expected."
force kill a process 5678,kill -9 5678,kill -9 5678,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
force kill a process,kill -9 1234,kill -9 YOUR_PID,False,True,True,True,2,1,1,True,3,"Correct tool and flag, but uses a hardcoded PID instead of a placeholder as expected."
check and repair a filesystem /dev/sda1,sudo fsck /dev/sda1,sudo e2fsck -f /dev/sda1,False,True,True,True,1,1,1,True,3,Uses fsck which is correct but expected uses e2fsck with -f flag for forced check; tool is correct but flags differ.
check and repair a filesystem,sudo fsck /dev/sda1,sudo e2fsck -f YOUR_DEVICE,False,True,True,True,1,1,2,True,4,Uses fsck which is correct but expected uses e2fsck; both are valid but e2fsck is more specific for ext2/3/4 filesystems.
run uptime command on multiple remote servers server1 server2,ssh server1 'uptime' ssh server2 'uptime',"for host in server1 server2; do echo ""=== $host ==="" && ssh $host ""uptime""; done",False,True,True,True,2,1,1,True,3,"Uses ssh correctly but lacks a loop to handle multiple servers efficiently, leading to incomplete args."
run multiple commands on remote servers,"ssh user@host ""command1; command2""","for host in YOUR_HOSTS; do echo ""=== $host ==="" && ssh $host ""YOUR_COMMAND""; done",False,True,True,True,2,0,0,True,2,"Command runs a single command on a single host, missing the 'multiple' and 'servers' aspect from input_text."
check SSL/TLS protocols supported by a server example.com,openssl s_client -connect example.com:443 -showcerts -servername example.com | openssl x509 -text -noout,nmap --script ssl-enum-ciphers -p 443 example.com,False,True,True,False,0,0,0,True,1,Uses openssl but does not check SSL/TLS protocols; instead extracts certificate text. Nmap is a more appropriate tool for enumerating SSL/TLS protocols.
check SSL/TLS protocols supported by a server,"openssl s_client -connect example.com:443 -showcerts -servername example.com 2>/dev/null | openssl x509 -text -noout | grep -A 1 ""Supported signature algorithms""",nmap --script ssl-enum-ciphers -p 443 YOUR_DOMAIN,False,True,True,False,0,0,0,True,1,Uses openssl but the command is overly complex and does not directly check SSL/TLS protocols; nmap is a more appropriate tool as per expected.
remove all blank lines from a file file.txt,sed -i '/^$/d' file.txt,sed '/^$/d' file.txt,False,True,True,True,2,2,2,True,5,"Correct tool and flag; in-place edit is optional but not required, so command is valid."
remove all blank lines from a file,sed -i '/^$/d' file.txt,sed '/^$/d' YOUR_FILE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses placeholder YOUR_FILE as input_text didn't specify a filename.
test mail delivery to user@example.com,"echo ""test"" | mail -s ""test"" user@example.com","echo ""Test"" | sendmail user@example.com",False,True,True,True,2,1,1,True,4,"Uses 'mail' instead of 'sendmail' which is acceptable, but 'Test' vs 'test' is a minor constraint issue."
test mail delivery,"echo ""test"" | mail -s ""test"" user@domain.com","echo ""YOUR_MESSAGE"" | sendmail YOUR_EMAIL",False,True,True,True,2,2,2,True,5,Uses 'mail' instead of 'sendmail' but both are valid tools; message and email are placeholders as input_text didn't specify them.
kubernetes get pod details for mypod,kubectl get pod mypod,kubectl describe pod mypod,False,True,True,True,0,2,0,True,1,Uses 'get' instead of 'describe' which is the correct command for getting details of a pod.
kubernetes get pod details,kubectl get pod pod_name,kubectl describe pod YOUR_POD,False,True,True,True,0,1,0,True,1,Uses 'get' instead of 'describe' which is the correct command for getting pod details as per input_text.
curl with authentication user:pass to https://api.example.com,curl -u user:pass https://api.example.com,curl -u user:pass https://api.example.com,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, and correct arguments as per input_text."
curl with authentication,curl -u username:password https://api.example.com,curl -u YOUR_USER:YOUR_PASS YOUR_URL,False,True,True,True,2,1,1,False,3,"Correct tool and flag for authentication, but uses hardcoded credentials instead of placeholders as expected."
install a specific npm package express,npm install express,npm install express,True,True,True,True,2,2,2,True,5,Correct tool and command to install the npm package 'express'.
install a specific npm package,npm install package_name,npm install YOUR_PACKAGE,False,True,True,True,2,2,2,True,5,Correct tool and action; uses placeholder package_name which is acceptable as input_text didn't specify a package.
git show file main.py at a specific commit abc1234,git show abc1234:main.py,git show abc1234:main.py,True,True,True,True,2,2,2,True,5,Correct tool and command syntax; accurately shows the file at the specified commit.
git show file at a specific commit,git show commit_hash:path/to/file,git show YOUR_COMMIT:YOUR_FILE,False,True,True,True,2,1,1,True,3,Correct tool but uses 'commit_hash' instead of placeholder 'YOUR_COMMIT' and lacks explicit file path placeholder.
"check if a string '{""key"":""value""}' is a valid JSON","echo '{""key"":""value""}' | jsonlint","echo '{""key"":""value""}' | jq . > /dev/null 2>&1 && echo ""Valid"" || echo ""Invalid""",False,True,True,True,2,2,2,True,5,Uses jsonlint which is appropriate; correct args and flags for the task.
check if a string is a valid JSON,"echo '{""name"": ""John""}' | jsonlint","echo YOUR_JSON | jq . > /dev/null 2>&1 && echo ""Valid"" || echo ""Invalid""",False,True,True,True,2,2,2,True,4,Uses jsonlint which is a valid tool but the expected answer uses jq; both are correct but the command is less common.
find files newer than a reference file reference.txt,find . -newer reference.txt,find . -newer reference.txt,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, and correct argument; matches expected exactly."
find files newer than a reference file,find . -newerbt reference.txt,find . -newer YOUR_REFERENCE_FILE,False,True,True,True,2,1,1,True,3,"Correct tool and flag, but the argument is not properly specified as per input_text which implies a placeholder should be used."
check if a file file is a binary or text,file file,file file,True,True,True,True,2,2,2,True,5,Correct tool and command to check file type; no flags needed as the 'file' command inherently determines if a file is binary or text.
check if a file is a binary or text,file file.bin,file YOUR_FILE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses placeholder YOUR_FILE as input_text did not specify a filename.
use awk to process Apache access logs access.log,"awk '{print $1, $2, $3, $4, $10}' access.log",awk '{print $1}' access.log | sort | uniq -c | sort -rn | head -20,False,True,True,True,2,2,0,True,2,"Uses awk but does not align with expected processing of logs (e.g., missing counting and sorting)."
use awk to process Apache access logs,"awk '{print $1, $2, $3, $4, $10}' access.log",awk '{print $1}' YOUR_LOGFILE | sort | uniq -c | sort -rn | head -20,False,True,True,True,2,1,0,True,2,"Uses awk but does not align with expected output; lacks constraints like sorting, counting, or limiting to top 20 entries."
automate FTP file transfer of file.txt to server as user:pass,ncftpput -u user -p pass server /remote/path file.txt,curl -T file.txt ftp://server --user user:pass,False,True,True,True,2,2,2,True,5,"Uses correct tool (ncftpput) with proper flags for FTP transfer, but expected used curl. Both are valid, but command is correct."
automate FTP file transfer,"lftp -e ""open ftp.example.com; user user pass; put file.txt; quit""",curl -T YOUR_FILE ftp://YOUR_SERVER --user YOUR_USER:YOUR_PASS,False,True,True,True,2,2,2,True,4,Uses lftp correctly with required actions but expected used curl; both are valid tools but lftp is less common for this task.
record system performance data for 30 seconds,sar -u -r -b -z -f /var/log/syslog 30,sar -u 1 30,False,True,True,True,0,0,0,True,1,Excessive flags; correct tool but incorrect flags and args. The command should use -u 1 30 to record CPU usage every second for 30 seconds.
record system performance data,sar -u -r -b -z -f /var/log/syslog,sar -u 1 YOUR_DURATION,False,True,True,True,0,0,0,True,1,Uses sar with incorrect flags and argument; does not match expected command or input_text's intent.
run a local script script.sh on a remote server user@server,"ssh user@server ""source script.sh""",ssh user@server 'bash -s' < script.sh,False,True,True,True,0,0,0,True,1,Incorrect method for running a local script on a remote server; uses source which may not work as intended.
run a local script on a remote server,"ssh user@host ""source /path/to/script.sh""",ssh YOUR_USER@YOUR_SERVER 'bash -s' < YOUR_SCRIPT,False,True,True,True,1,1,1,True,3,Uses ssh correctly but the method of executing the script is not standard; expected approach is more secure and standard.
terraform import an existing resource aws_instance.web with ID i-1234567890abcdef0,terraform import aws_instance.web i-1234567890abcdef0,terraform import aws_instance.web i-1234567890abcdef0,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments matching the input_text."
terraform import an existing resource,terraform import resource_type.resource_name resource_id,terraform import YOUR_RESOURCE_TYPE YOUR_RESOURCE_ID,False,True,True,True,2,1,1,True,3,"Correct tool, correct flag structure, but args use placeholders instead of expected format."
find files owned by a specific user root,find / -user root -type f,find . -user root,False,True,True,True,2,1,1,False,3,"Correct tool and flag for user, but searches from root (/) instead of current directory (.) as expected."
find files owned by a specific user,find / -user john -type f,find . -user YOUR_USERNAME,False,True,True,True,2,1,1,True,3,"Correct tool and flag for user, but uses hardcoded '/-' instead of '.' and specifies 'john' instead of placeholder for username."
run a Python script main.py,python3 main.py,python3 main.py,True,True,True,True,2,2,2,True,5,Correct tool and arguments; matches expected exactly.
run a Python script,python3 script.py,python3 YOUR_SCRIPT,False,True,True,True,2,2,2,True,5,Correct tool and argument; uses 'script.py' instead of placeholder 'YOUR_SCRIPT' but input_text didn't specify a filename so it's acceptable.
find the location of a binary python3,which python3,which python3,True,True,True,True,2,2,2,True,5,Correct tool and command to find the location of the python3 binary.
find the location of a binary,which YOUR_BINARY,which YOUR_BINARY,True,True,True,True,2,2,2,True,5,Correct tool and placeholder for binary name; meets all constraints and is safe.
run a Node.js script app.js,node app.js,node app.js,True,True,True,True,2,2,2,True,5,Correct tool and command; matches expected exactly.
run a Node.js script,node script.js,node YOUR_SCRIPT,False,True,True,True,2,2,2,True,5,Correct tool and argument; uses 'script.js' instead of placeholder 'YOUR_SCRIPT' but input_text didn't specify a filename.
check systemd service dependencies for nginx,systemd-analyze critical-chain nginx,systemctl list-dependencies nginx,False,True,True,False,0,2,0,True,1,"Uses systemd-analyze instead of systemctl list-dependencies, which is the correct tool for checking service dependencies."
check systemd service dependencies,systemd-analyze critical-chain,systemctl list-dependencies YOUR_SERVICE,False,True,True,True,0,0,0,True,1,"Uses the correct tool but the wrong command; 'systemd-analyze critical-chain' shows boot chain, not service dependencies."
add text footer text at the end of a file file.txt,"echo ""text footer"" >> file.txt","echo ""footer text"" >> file.txt",False,True,True,True,2,1,1,True,3,Correct tool and operation but the footer text 'text footer' does not match the input's 'footer text'.
add text at the end of a file,"echo ""YOUR_TEXT"" | tee -a YOUR_FILE","echo ""YOUR_TEXT"" >> YOUR_FILE",False,True,True,True,2,2,2,True,4,Correct tool and approach but uses tee -a instead of >> which is less direct for appending to a file.
docker pull an image ubuntu:latest,docker pull ubuntu:latest,docker pull ubuntu:latest,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
docker pull an image,docker pull image:tag,docker pull YOUR_IMAGE,False,True,True,True,2,1,1,True,3,Correct tool but uses a hardcoded 'image:tag' instead of placeholder 'YOUR_IMAGE' as expected.
remove the directory called temp,rmdir temp,rm -rf temp,False,True,True,True,0,2,0,True,1,"Uses rmdir instead of rm -rf, which only works if the directory is empty, violating the 'remove the directory' constraint."
remove the directory called,rmdir directory,rm -rf YOUR_DIRECTORY,False,True,True,False,0,0,0,False,1,"Incorrect tool: 'rmdir' only removes empty directories, but input_text implies a more general directory removal, which requires 'rm -rf' with a placeholder."
set maximum open files limit to 65535,ulimit -n 65535,ulimit -n 65535,True,True,True,True,2,2,2,True,5,Correct tool and argument; sets the maximum open files limit as requested.
set maximum open files limit,ulimit -n 65536,ulimit -n YOUR_LIMIT,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses 65536 as a placeholder value which is appropriate since input_text did not specify a limit.
search for a shared library libssl,ldconfig -p | grep libssl,ldconfig -p | grep libssl,True,True,True,True,2,2,2,True,5,Correct tool and command to search for libssl in the shared library cache.
search for a shared library,ldconfig -p | grep YOUR_LIBRARY,ldconfig -p | grep YOUR_LIBRARY,True,True,True,True,2,2,2,True,5,Correct tool and approach; uses ldconfig -p and grep to search for a shared library with placeholder for the library name.
show password policy for a user johndoe,sudo chage -l johndoe,sudo chage -l johndoe,True,True,True,True,2,2,2,True,5,Correct tool and command to show password policy for user johndoe.
show password policy for a user,sudo chage -l john,sudo chage -l YOUR_USERNAME,False,True,True,True,2,2,2,True,5,Correct tool and flag; username placeholder is appropriate as input_text does not specify a user.
